crop,market,week_start,modal_price_weighted
tomato,Bindki APMC,2024-08-19,2812.3
tomato,Nasik APMC,2024-08-19,1060.6066720473502
tomato,Lalitpur APMC,2024-08-19,2544.705882352941
tomato,Bodinayakanur(Uzhavar Sandhai ),2024-08-19,1971.1864406779664
tomato,Lohian Khas APMC,2024-08-19,2590.9090909090914
tomato,Palladam(Uzhavar Sandhai ),2024-08-19,1799.9999999999998
tomato,Rewari APMC,2024-08-19,2016.8297455968689
tomato,SMY Baijnath,2024-08-19,4196.428571428572
tomato,Kollam Market,2024-08-19,2138.095238095238
tomato,Ahirora APMC,2024-08-19,2000.0
tomato,Lalru APMC,2024-08-19,4087.719298245614
tomato,Lashkar(F&V) APMC,2024-08-19,
tomato,Ariyalur(Uzhavar Sandhai),2024-08-19,3535.7142857142853
tomato,Padappai(Uzhavar Sandhai ),2024-08-19,2657.48502994012
tomato,Champaknagar APMC,2024-08-19,9500.0
tomato,SMY Bhuntar,2024-08-19,1959.514435695538
tomato,Madlauda APMC,2024-08-19,2833.076923076923
tomato,Khed(Chakan) APMC,2024-08-19,1903.800475059382
tomato,Thathakapatti(Uzhavar Sandhai ),2024-08-19,2473.270568972575
tomato,Broadway market Market,2024-08-19,3473.584905660377
tomato,Champadanga APMC,2024-08-19,3475.172413793103
tomato,Naraingarh APMC,2024-08-19,1780.258519388954
tomato,Khekda APMC,2024-08-19,2550.0
tomato,SMY Dhanotu,2024-08-19,3039.6825396825398
tomato,Ratnagiri (Nachane) APMC,2024-08-19,1852.6946107784431
tomato,Madhuranthagam(Uzhavar Sandhai ),2024-08-19,3354.166666666667
tomato,Arani(Uzhavar Sandhai ),2024-08-19,2671.084337349397
tomato,Pune(Manjri) APMC,2024-08-19,1620.0565698122912
tomato,Madhoganj APMC,2024-08-19,3051.75
tomato,Vadavalli(Uzhavar Sandhai ),2024-08-19,1814.5180023228804
tomato,Neyyatinkara Market,2024-08-19,3654.5454545454554
tomato,Pallapatti (Uzhavar Sandhai ),2024-08-19,2584.6689895470386
tomato,Rawatsar APMC,2024-08-19,3561.904761904762
tomato,Kodungalloor Market,2024-08-19,2649.5867768595044
tomato,Madanganj Kishangarh APMC,2024-08-19,3238.3620689655168
tomato,Paliakala APMC,2024-08-19,3020.0
tomato,Narwal Jammu (F&V),2024-08-19,3402.439024390244
tomato,Kiratpur APMC,2024-08-19,4050.0
tomato,"New Grain Market , Faridabad APMC",2024-08-19,2614.9193548387098
tomato,Lucknow APMC,2024-08-19,3135.2727272727275
tomato,Madhavapuram Market,2024-08-19,2855.670103092784
tomato,Charra APMC,2024-08-19,4899.999999999999
tomato,Khurja APMC,2024-08-19,2778.7292817679554
tomato,Naravarikuppam(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Aranthangi(Uzhavar Sandhai ),2024-08-19,3500.0
tomato,Rayagada APMC,2024-08-19,3300.0
tomato,"Binny Mill (F&V), Bengaluru APMC",2024-08-19,1158.9371980676328
tomato,Boudh APMC,2024-08-19,4000.0
tomato,Aralamoodu Market,2024-08-19,3083.333333333333
tomato,Lakhimpur APMC,2024-08-19,3064.9193548387098
tomato,Ladwa APMC,2024-08-19,2599.090909090909
tomato,Vadgaonpeth APMC,2024-08-19,1217.5115207373271
tomato,Palitana APMC,2024-08-19,4400.0
tomato,Pollachi(Uzhavar Sandhai ),2024-08-19,1488.645418326693
tomato,Naugarh APMC,2024-08-19,2962.8571428571427
tomato,Padampur APMC,2024-08-19,3088.28125
tomato,Kumbakonam (Uzhavar Sandhai ),2024-08-19,3052.930056710775
tomato,Bowenpally APMC,2024-08-19,1110.4788341429564
tomato,Rudrapur APMC,2024-08-19,2973.684210526316
tomato,Viswan APMC,2024-08-19,3084.195804195804
tomato,Kumarapalayam(Uzhavar Sandhai ),2024-08-19,2456.597222222222
tomato,Ambala Cantt. APMC,2024-08-19,2200.0
tomato,Perambra Market,2024-08-19,1866.6666666666667
tomato,Nautnava APMC,2024-08-19,3801.25
tomato,Atarra APMC,2024-08-19,2584.8529411764707
tomato,Kulithalai(Uzhavar Sandhai ),2024-08-19,2471.25
tomato,Kotadwara APMC,2024-08-19,4620.0
tomato,Kothamangalam Market,2024-08-19,2700.0
tomato,Navsari APMC,2024-08-19,2309.1668123797867
tomato,Athur(Uzhavar Sandhai ),2024-08-19,2386.255924170616
tomato,Kottayam Market,2024-08-19,2616.6666666666665
tomato,Chandoli APMC,2024-08-19,2958.7562189054725
tomato,Rudauli APMC,2024-08-19,2920.0
tomato,Kottarakkara Market,2024-08-19,2944.4444444444443
tomato,Vadhvan APMC,2024-08-19,2547.83950617284
tomato,Kovilpatti(Uzhavar Sandhai ),2024-08-19,2184.429065743945
tomato,Navapur APMC,2024-08-19,
tomato,Kottakkal Market,2024-08-19,2495.3846153846152
tomato,Krishnagiri(Uzhavar Sandhai ),2024-08-19,2000.0
tomato,Athirampuzha Market,2024-08-19,2966.6666666666665
tomato,Roorkee APMC,2024-08-19,1945.9459459459456
tomato,Chandrapur(Ganjwad) APMC,2024-08-19,1104.813706826217
tomato,Pune(Pimpri) APMC,2024-08-19,1757.7777777777778
tomato,Attingal Market,2024-08-19,2678.571428571429
tomato,Thanesar APMC,2024-08-19,2460.324483775811
tomato,Channapatna APMC,2024-08-19,
tomato,Tamarainagar(Uzhavar Sandhai ),2024-08-19,2231.8840579710145
tomato,Nawan Shahar(Subzi Mandi) APMC,2024-08-19,3159.9221789883263
tomato,Tanda Urmur APMC,2024-08-19,3882.105263157895
tomato,Konch APMC,2024-08-19,2794.4915254237285
tomato,Ambasamudram(Uzhavar Sandhai ),2024-08-19,2808.695652173913
tomato,Thalavadi(Uzhavar Sandhai ),2024-08-19,1800.0
