state,series,year,month,index_value
Jammu and Kashmir,AL,2025,10,146.66
Jammu and Kashmir,RL,2025,10,147.14
Jharkhand,AL,2025,10,132.65
Jharkhand,RL,2025,10,132.7
Karnataka,AL,2025,10,139.68
Karnataka,RL,2025,10,140.32
Kerala,AL,2025,10,136.25
Kerala,RL,2025,10,136.41
Lakshadweep,AL,2025,10,137.65
Lakshadweep,RL,2025,10,136.03
Madhya Pradesh,AL,2025,10,133.02
Madhya Pradesh,RL,2025,10,133.73
Maharashtra,AL,2025,10,132.55
Maharashtra,RL,2025,10,132.78
Manipur,AL,2025,10,143.47
Manipur,RL,2025,10,141.8
Meghalaya,AL,2025,10,138.58
Meghalaya,RL,2025,10,138.58
Mizoram,AL,2025,10,148.42
Mizoram,RL,2025,10,145.64
Nagaland,AL,2025,10,136.23
Nagaland,RL,2025,10,138.67
Odisha,AL,2025,10,132.85
Odisha,RL,2025,10,132.96
Puducherry,AL,2025,10,135.3
Puducherry,RL,2025,10,135.16
Punjab,AL,2025,10,139.18
Punjab,RL,2025,10,138.34
Rajasthan,AL,2025,10,137.52
Rajasthan,RL,2025,10,136.89
Sikkim,AL,2025,10,131.43
Sikkim,RL,2025,10,131.36
Tamil Nadu,AL,2025,10,133.67
Tamil Nadu,RL,2025,10,133.56
Telangana,AL,2025,10,140.21
Telangana,RL,2025,10,140.19
Tripura,AL,2025,10,130.16
Tripura,RL,2025,10,130.79
Uttar Pradesh,AL,2025,10,137.46
Uttar Pradesh,RL,2025,10,137.37
Uttarakhand,AL,2025,10,131.98
Uttarakhand,RL,2025,10,132.23
West Bengal,AL,2025,10,136.3
West Bengal,RL,2025,10,135.62
All India,AL,2025,11,137.4
All India,RL,2025,11,137.3
Andaman and Nicobar Islands,AL,2025,11,137.4
Andaman and Nicobar Islands,RL,2025,11,137.3
Andhra Pradesh,AL,2025,11,138.91
Andhra Pradesh,RL,2025,11,138.79
Arunachal Pradesh,AL,2025,11,143.43
Arunachal Pradesh,RL,2025,11,143.58
Assam,AL,2025,11,134.12
Assam,RL,2025,11,134.61
Bihar,AL,2025,11,141.08
Bihar,RL,2025,11,141.3
Chhattisgarh,AL,2025,11,137.04
Chhattisgarh,RL,2025,11,136.64
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,11,141.2
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,11,140.04
Delhi,AL,2025,11,0.0
Delhi,RL,2025,11,132.91
Goa,AL,2025,11,123.89
Goa,RL,2025,11,123.5
Gujarat,AL,2025,11,138.84
Gujarat,RL,2025,11,138.47
Haryana,AL,2025,11,142.73
Haryana,RL,2025,11,141.51
Himachal Pradesh,AL,2025,11,135.77
Himachal Pradesh,RL,2025,11,138.44
Jammu and Kashmir,AL,2025,11,146.25
Jammu and Kashmir,RL,2025,11,146.65
Jharkhand,AL,2025,11,132.62
Jharkhand,RL,2025,11,132.81
Karnataka,AL,2025,11,140.33
Karnataka,RL,2025,11,140.96
Kerala,AL,2025,11,136.56
Kerala,RL,2025,11,136.73
Lakshadweep,AL,2025,11,135.85
Lakshadweep,RL,2025,11,134.4
Madhya Pradesh,AL,2025,11,134.2
Madhya Pradesh,RL,2025,11,134.51
Maharashtra,AL,2025,11,133.05
Maharashtra,RL,2025,11,133.28
Manipur,AL,2025,11,143.15
Manipur,RL,2025,11,141.41
Meghalaya,AL,2025,11,139.81
Meghalaya,RL,2025,11,139.83
Mizoram,AL,2025,11,149.19
Mizoram,RL,2025,11,146.86
Nagaland,AL,2025,11,136.56
Nagaland,RL,2025,11,139.23
Odisha,AL,2025,11,134.01
Odisha,RL,2025,11,133.99
Puducherry,AL,2025,11,136.5
Puducherry,RL,2025,11,136.53
Punjab,AL,2025,11,136.95
Punjab,RL,2025,11,136.33
Rajasthan,AL,2025,11,137.74
Rajasthan,RL,2025,11,137.46
Sikkim,AL,2025,11,133.25
Sikkim,RL,2025,11,133.17
Tamil Nadu,AL,2025,11,135.23
Tamil Nadu,RL,2025,11,135.0
Telangana,AL,2025,11,141.75
Telangana,RL,2025,11,141.71
Tripura,AL,2025,11,131.49
Tripura,RL,2025,11,132.38
Uttar Pradesh,AL,2025,11,138.35
Uttar Pradesh,RL,2025,11,138.29
Uttarakhand,AL,2025,11,130.62
Uttarakhand,RL,2025,11,130.98
West Bengal,AL,2025,11,136.01
West Bengal,RL,2025,11,135.34
All India,AL,2025,12,137.12
All India,RL,2025,12,137.03
Andaman and Nicobar Islands,AL,2025,12,138.31
Andaman and Nicobar Islands,RL,2025,12,137.94
Andhra Pradesh,AL,2025,12,144.12
Andhra Pradesh,RL,2025,12,144.27
Arunachal Pradesh,AL,2025,12,134.25
Arunachal Pradesh,RL,2025,12,134.79
Assam,AL,2025,12,140.16
Assam,RL,2025,12,140.45
Bihar,AL,2025,12,135.16
Bihar,RL,2025,12,134.7
Chhattisgarh,AL,2025,12,133.98
Chhattisgarh,RL,2025,12,134.23
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,12,141.7
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,12,140.62
Delhi,AL,2025,12,0.0
Delhi,RL,2025,12,131.6
Goa,AL,2025,12,124.28
Goa,RL,2025,12,124.1
Gujarat,AL,2025,12,137.9
Gujarat,RL,2025,12,137.59
Haryana,AL,2025,12,141.94
Haryana,RL,2025,12,140.85
Himachal Pradesh,AL,2025,12,135.57
Himachal Pradesh,RL,2025,12,138.03
Jammu and Kashmir,AL,2025,12,146.48
Jammu and Kashmir,RL,2025,12,146.73
Jharkhand,AL,2025,12,131.32
Jharkhand,RL,2025,12,132.26
Karnataka,AL,2025,12,140.29
Karnataka,RL,2025,12,140.91
Kerala,AL,2025,12,136.8
Kerala,RL,2025,12,136.99
Lakshadweep,AL,2025,12,135.74
Lakshadweep,RL,2025,12,134.34
Madhya Pradesh,AL,2025,12,134.08
Madhya Pradesh,RL,2025,12,134.53
Maharashtra,AL,2025,12,133.22
Maharashtra,RL,2025,12,133.47
Manipur,AL,2025,12,142.93
Manipur,RL,2025,12,141.11
Meghalaya,AL,2025,12,139.93
Meghalaya,RL,2025,12,139.89
Mizoram,AL,2025,12,149.31
Mizoram,RL,2025,12,147.0
Nagaland,AL,2025,12,137.0
Nagaland,RL,2025,12,139.75
Odisha,AL,2025,12,133.22
Odisha,RL,2025,12,133.26
Puducherry,AL,2025,12,137.06
Puducherry,RL,2025,12,137.18
Punjab,AL,2025,12,136.6
Punjab,RL,2025,12,136.06
Rajasthan,AL,2025,12,137.36
Rajasthan,RL,2025,12,137.05
Sikkim,AL,2025,12,135.4
Sikkim,RL,2025,12,135.17
Tamil Nadu,AL,2025,12,136.41
Tamil Nadu,RL,2025,12,136.06
Telangana,AL,2025,12,142.93
Telangana,RL,2025,12,142.91
Tripura,AL,2025,12,129.9
Tripura,RL,2025,12,130.8
Uttar Pradesh,AL,2025,12,137.47
Uttar Pradesh,RL,2025,12,137.48
Uttarakhand,AL,2025,12,131.87
Uttarakhand,RL,2025,12,131.97
West Bengal,AL,2025,12,134.74
West Bengal,RL,2025,12,134.09
All India,AL,2026,1,137.07
All India,RL,2026,1,136.9
Andaman and Nicobar Islands,AL,2026,1,138.98
Andaman and Nicobar Islands,RL,2026,1,138.78
Andhra Pradesh,AL,2026,1,144.86
Andhra Pradesh,RL,2026,1,145.04
Arunachal Pradesh,AL,2026,1,134.06
Arunachal Pradesh,RL,2026,1,134.64
Assam,AL,2026,1,139.08
Assam,RL,2026,1,139.42
Bihar,AL,2026,1,135.97
Bihar,RL,2026,1,135.61
Chhattisgarh,AL,2026,1,132.01
Chhattisgarh,RL,2026,1,132.32
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,1,140.85
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,1,139.82
Delhi,AL,2026,1,0.0
Delhi,RL,2026,1,131.08
Goa,AL,2026,1,124.88
Goa,RL,2026,1,124.47
Gujarat,AL,2026,1,138.47
Gujarat,RL,2026,1,138.13
Haryana,AL,2026,1,140.88
Haryana,RL,2026,1,139.96
Himachal Pradesh,AL,2026,1,135.58
Himachal Pradesh,RL,2026,1,137.62
Jammu and Kashmir,AL,2026,1,146.61
Jammu and Kashmir,RL,2026,1,146.74
Jharkhand,AL,2026,1,131.22
Jharkhand,RL,2026,1,131.5
Karnataka,AL,2026,1,141.29
Karnataka,RL,2026,1,141.81
Kerala,AL,2026,1,136.71
Kerala,RL,2026,1,137.01
Lakshadweep,AL,2026,1,135.27
Lakshadweep,RL,2026,1,133.93
Madhya Pradesh,AL,2026,1,133.19
Madhya Pradesh,RL,2026,1,133.78
Maharashtra,AL,2026,1,132.75
Maharashtra,RL,2026,1,133.02
Manipur,AL,2026,1,142.08
Manipur,RL,2026,1,139.92
Meghalaya,AL,2026,1,139.91
Meghalaya,RL,2026,1,139.85
Mizoram,AL,2026,1,148.6
Mizoram,RL,2026,1,146.74
Nagaland,AL,2026,1,137.56
Nagaland,RL,2026,1,140.4
Odisha,AL,2026,1,131.86
Odisha,RL,2026,1,131.94
Puducherry,AL,2026,1,138.24
Puducherry,RL,2026,1,138.62
Punjab,AL,2026,1,136.01
Punjab,RL,2026,1,135.55
Rajasthan,AL,2026,1,137.51
Rajasthan,RL,2026,1,137.19
Sikkim,AL,2026,1,136.18
Sikkim,RL,2026,1,135.84
Tamil Nadu,AL,2026,1,137.48
Tamil Nadu,RL,2026,1,137.09
Telangana,AL,2026,1,143.2
Telangana,RL,2026,1,143.09
Tripura,AL,2026,1,128.26
Tripura,RL,2026,1,129.1
Uttar Pradesh,AL,2026,1,136.15
Uttar Pradesh,RL,2026,1,136.26
Uttarakhand,AL,2026,1,131.03
Uttarakhand,RL,2026,1,131.07
West Bengal,AL,2026,1,133.86
West Bengal,RL,2026,1,133.31
All India,AL,2026,2,136.57
All India,RL,2026,2,136.51
Andaman and Nicobar Islands,AL,2026,2,138.16
Andaman and Nicobar Islands,RL,2026,2,137.76
Andhra Pradesh,AL,2026,2,144.01
Andhra Pradesh,RL,2026,2,144.14
Arunachal Pradesh,AL,2026,2,134.13
Arunachal Pradesh,RL,2026,2,134.54
Assam,AL,2026,2,138.53
Assam,RL,2026,2,138.96
Bihar,AL,2026,2,134.44
Bihar,RL,2026,2,134.03
Chhattisgarh,AL,2026,2,130.07
Chhattisgarh,RL,2026,2,130.42
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,2,141.2
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,2,140.16
Delhi,AL,2026,2,0.0
Delhi,RL,2026,2,131.84
Goa,AL,2026,2,125.92
Goa,RL,2026,2,125.21
Gujarat,AL,2026,2,136.13
Gujarat,RL,2026,2,135.97
Haryana,AL,2026,2,140.57
Haryana,RL,2026,2,139.7
Himachal Pradesh,AL,2026,2,135.74
Himachal Pradesh,RL,2026,2,137.67
Jammu and Kashmir,AL,2026,2,145.26
Jammu and Kashmir,RL,2026,2,145.65
Jharkhand,AL,2026,2,130.18
Jharkhand,RL,2026,2,131.27
Karnataka,AL,2026,2,141.81
Karnataka,RL,2026,2,142.31
Kerala,AL,2026,2,135.92
Kerala,RL,2026,2,136.2
Lakshadweep,AL,2026,2,135.49
Lakshadweep,RL,2026,2,134.12
Madhya Pradesh,AL,2026,2,133.09
Madhya Pradesh,RL,2026,2,133.68
Maharashtra,AL,2026,2,133.78
Maharashtra,RL,2026,2,134.01
Manipur,AL,2026,2,142.65
Manipur,RL,2026,2,140.52
Meghalaya,AL,2026,2,141.01
Meghalaya,RL,2026,2,140.87
Mizoram,AL,2026,2,148.92
Mizoram,RL,2026,2,147.2
Nagaland,AL,2026,2,138.33
Nagaland,RL,2026,2,140.78
Odisha,AL,2026,2,130.52
Odisha,RL,2026,2,130.64
Puducherry,AL,2026,2,137.93
Puducherry,RL,2026,2,138.19
Punjab,AL,2026,2,136.3
Punjab,RL,2026,2,135.86
Rajasthan,AL,2026,2,138.27
Rajasthan,RL,2026,2,137.68
Sikkim,AL,2026,2,135.68
Sikkim,RL,2026,2,135.57
Tamil Nadu,AL,2026,2,136.44
Tamil Nadu,RL,2026,2,136.16
Telangana,AL,2026,2,142.69
Telangana,RL,2026,2,142.56
Tripura,AL,2026,2,135.51
Tripura,RL,2026,2,134.8
Uttar Pradesh,AL,2026,2,136.04
Uttar Pradesh,RL,2026,2,136.12
Uttarakhand,AL,2026,2,130.42
Uttarakhand,RL,2026,2,130.41
West Bengal,AL,2026,2,133.57
West Bengal,RL,2026,2,133.03
All India,AL,2026,3,136.99
All India,RL,2026,3,136.95
Andaman and Nicobar Islands,AL,2026,3,137.69
Andaman and Nicobar Islands,RL,2026,3,137.26
Andhra Pradesh,AL,2026,3,144.93
Andhra Pradesh,RL,2026,3,145.21
Arunachal Pradesh,AL,2026,3,134.2
Arunachal Pradesh,RL,2026,3,134.46
Assam,AL,2026,3,138.05
Assam,RL,2026,3,138.54
Bihar,AL,2026,3,134.35
Bihar,RL,2026,3,133.95
Chhattisgarh,AL,2026,3,130.12
Chhattisgarh,RL,2026,3,130.47
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,3,142.07
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,3,140.62
Delhi,AL,2026,3,0.0
Delhi,RL,2026,3,132.43
Goa,AL,2026,3,126.48
Goa,RL,2026,3,125.86
Gujarat,AL,2026,3,136.62
Gujarat,RL,2026,3,136.53
Haryana,AL,2026,3,141.71
Haryana,RL,2026,3,140.78
Himachal Pradesh,AL,2026,3,136.47
