state,series,year,month,index_value
Delhi,AL,2026,4,0.0
Delhi,RL,2026,4,133.19
Goa,AL,2026,4,127.46
Goa,RL,2026,4,127.69
Gujarat,AL,2026,4,137.24
Gujarat,RL,2026,4,137.11
Haryana,AL,2026,4,141.98
Haryana,RL,2026,4,140.91
Himachal Pradesh,AL,2026,4,137.31
Himachal Pradesh,RL,2026,4,139.09
Jammu and Kashmir,AL,2026,4,145.76
Jammu and Kashmir,RL,2026,4,146.19
Jharkhand,AL,2026,4,129.79
Jharkhand,RL,2026,4,130.54
Karnataka,AL,2026,4,143.52
Karnataka,RL,2026,4,144.0
Kerala,AL,2026,4,136.19
Kerala,RL,2026,4,136.49
Lakshadweep,AL,2026,4,136.2
Lakshadweep,RL,2026,4,134.42
Madhya Pradesh,AL,2026,4,133.8
Madhya Pradesh,RL,2026,4,134.35
Maharashtra,AL,2026,4,135.65
Maharashtra,RL,2026,4,135.87
Manipur,AL,2026,4,143.65
Manipur,RL,2026,4,141.62
Meghalaya,AL,2026,4,141.11
Meghalaya,RL,2026,4,141.24
Mizoram,AL,2026,4,149.56
Mizoram,RL,2026,4,147.86
Nagaland,AL,2026,4,139.41
Nagaland,RL,2026,4,141.36
Odisha,AL,2026,4,130.01
Odisha,RL,2026,4,130.27
Puducherry,AL,2026,4,138.63
Puducherry,RL,2026,4,138.85
Punjab,AL,2026,4,136.48
Punjab,RL,2026,4,136.16
Rajasthan,AL,2026,4,137.76
Rajasthan,RL,2026,4,137.76
Sikkim,AL,2026,4,136.03
Sikkim,RL,2026,4,136.3
Tamil Nadu,AL,2026,4,136.57
Tamil Nadu,RL,2026,4,136.37
Telangana,AL,2026,4,144.42
Telangana,RL,2026,4,144.3
Tripura,AL,2026,4,137.66
Tripura,RL,2026,4,137.17
Uttar Pradesh,AL,2026,4,137.07
Uttar Pradesh,RL,2026,4,137.17
Uttarakhand,AL,2026,4,131.26
Uttarakhand,RL,2026,4,130.95
West Bengal,AL,2026,4,133.74
West Bengal,RL,2026,4,133.32
All India,AL,2026,6,140.06
All India,RL,2026,6,139.92
Andaman and Nicobar Islands,AL,2026,6,140.77
Andaman and Nicobar Islands,RL,2026,6,140.62
Andhra Pradesh,AL,2026,6,149.4
Andhra Pradesh,RL,2026,6,149.54
Arunachal Pradesh,AL,2026,6,134.37
Arunachal Pradesh,RL,2026,6,134.91
Assam,AL,2026,6,140.7
Assam,RL,2026,6,140.92
Bihar,AL,2026,6,134.69
Bihar,RL,2026,6,134.24
Chhattisgarh,AL,2026,6,133.62
Chhattisgarh,RL,2026,6,133.97
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,6,143.7
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,6,142.39
Delhi,AL,2026,6,0.0
Delhi,RL,2026,6,135.61
Goa,AL,2026,6,130.48
Goa,RL,2026,6,129.75
Gujarat,AL,2026,6,140.18
Gujarat,RL,2026,6,139.91
Haryana,AL,2026,6,144.36
Haryana,RL,2026,6,142.98
Himachal Pradesh,AL,2026,6,138.87
Himachal Pradesh,RL,2026,6,140.63
Jammu and Kashmir,AL,2026,6,147.68
Jammu and Kashmir,RL,2026,6,148.24
Jharkhand,AL,2026,6,133.5
Jharkhand,RL,2026,6,133.63
Karnataka,AL,2026,6,145.93
Karnataka,RL,2026,6,146.43
Kerala,AL,2026,6,139.81
Kerala,RL,2026,6,140.31
Lakshadweep,AL,2026,6,138.09
Lakshadweep,RL,2026,6,135.76
Madhya Pradesh,AL,2026,6,137.03
Madhya Pradesh,RL,2026,6,137.61
Maharashtra,AL,2026,6,139.12
Maharashtra,RL,2026,6,139.42
Manipur,AL,2026,6,147.02
Manipur,RL,2026,6,144.67
Meghalaya,AL,2026,6,143.26
Meghalaya,RL,2026,6,143.11
Mizoram,AL,2026,6,150.75
Mizoram,RL,2026,6,148.77
Nagaland,AL,2026,6,140.45
Nagaland,RL,2026,6,142.12
Odisha,AL,2026,6,132.82
Odisha,RL,2026,6,133.18
Puducherry,AL,2026,6,141.4
Puducherry,RL,2026,6,141.73
Punjab,AL,2026,6,138.75
Punjab,RL,2026,6,138.46
Rajasthan,AL,2026,6,140.09
Rajasthan,RL,2026,6,140.25
Sikkim,AL,2026,6,139.16
Sikkim,RL,2026,6,138.75
Tamil Nadu,AL,2026,6,140.04
Tamil Nadu,RL,2026,6,139.7
Telangana,AL,2026,6,147.54
Telangana,RL,2026,6,147.45
Tripura,AL,2026,6,136.53
Tripura,RL,2026,6,136.07
Uttar Pradesh,AL,2026,6,139.46
Uttar Pradesh,RL,2026,6,139.44
Uttarakhand,AL,2026,6,133.54
Uttarakhand,RL,2026,6,132.64
West Bengal,AL,2026,6,135.82
West Bengal,RL,2026,6,135.38
All India,AL,2026,7,141.65
All India,RL,2026,7,141.46
Andaman and Nicobar Islands,AL,2026,7,141.76
Andaman and Nicobar Islands,RL,2026,7,141.82
Andhra Pradesh,AL,2026,7,150.94
Andhra Pradesh,RL,2026,7,151.1
Arunachal Pradesh,AL,2026,7,135.17
Arunachal Pradesh,RL,2026,7,135.94
Assam,AL,2026,7,141.73
Assam,RL,2026,7,142.01
Bihar,AL,2026,7,137.6
Bihar,RL,2026,7,137.16
Chhattisgarh,AL,2026,7,135.88
Chhattisgarh,RL,2026,7,136.22
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,7,145.23
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,7,143.8
Delhi,AL,2026,7,0.0
Delhi,RL,2026,7,135.88
Goa,AL,2026,7,131.56
Goa,RL,2026,7,130.43
Gujarat,AL,2026,7,142.13
Gujarat,RL,2026,7,141.77
Haryana,AL,2026,7,146.07
Haryana,RL,2026,7,144.51
Himachal Pradesh,AL,2026,7,140.72
Himachal Pradesh,RL,2026,7,142.71
Jammu and Kashmir,AL,2026,7,149.73
Jammu and Kashmir,RL,2026,7,150.27
Jharkhand,AL,2026,7,135.32
Jharkhand,RL,2026,7,135.5
Karnataka,AL,2026,7,146.08
Karnataka,RL,2026,7,146.63
Kerala,AL,2026,7,140.12
Kerala,RL,2026,7,140.66
Lakshadweep,AL,2026,7,138.83
Lakshadweep,RL,2026,7,136.42
Madhya Pradesh,AL,2026,7,138.58
Madhya Pradesh,RL,2026,7,139.12
Maharashtra,AL,2026,7,140.14
Maharashtra,RL,2026,7,140.42
Manipur,AL,2026,7,147.25
Manipur,RL,2026,7,145.62
Meghalaya,AL,2026,7,143.57
Meghalaya,RL,2026,7,143.48
Mizoram,AL,2026,7,151.49
Mizoram,RL,2026,7,149.5
Nagaland,AL,2026,7,141.63
Nagaland,RL,2026,7,143.3
Odisha,AL,2026,7,134.67
Odisha,RL,2026,7,134.96
Puducherry,AL,2026,7,142.6
Puducherry,RL,2026,7,143.2
Punjab,AL,2026,7,140.74
Punjab,RL,2026,7,140.34
Rajasthan,AL,2026,7,142.02
Rajasthan,RL,2026,7,141.71
Sikkim,AL,2026,7,140.29
Sikkim,RL,2026,7,139.74
Tamil Nadu,AL,2026,7,140.67
Tamil Nadu,RL,2026,7,140.31
Telangana,AL,2026,7,148.81
Telangana,RL,2026,7,148.69
Tripura,AL,2026,7,137.72
Tripura,RL,2026,7,137.13
Uttar Pradesh,AL,2026,7,141.79
Uttar Pradesh,RL,2026,7,141.71
Uttarakhand,AL,2026,7,136.25
Uttarakhand,RL,2026,7,135.56
West Bengal,AL,2026,7,138.04
West Bengal,RL,2026,7,137.58
All India,AL,2026,8,143.4
All India,RL,2026,8,143.2
Andaman and Nicobar Islands,AL,2026,8,142.35
Andaman and Nicobar Islands,RL,2026,8,142.06
Andhra Pradesh,AL,2026,8,152.98
Andhra Pradesh,RL,2026,8,153.04
Arunachal Pradesh,AL,2026,8,135.7
Arunachal Pradesh,RL,2026,8,136.48
Assam,AL,2026,8,143.74
Assam,RL,2026,8,144.03
Bihar,AL,2026,8,140.13
Bihar,RL,2026,8,139.7
Chhattisgarh,AL,2026,8,138.43
Chhattisgarh,RL,2026,8,138.79
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,8,146.96
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,8,145.36
Delhi,AL,2026,8,0.0
Delhi,RL,2026,8,137.74
Goa,AL,2026,8,131.75
Goa,RL,2026,8,130.44
Gujarat,AL,2026,8,144.43
Gujarat,RL,2026,8,144.0
Haryana,AL,2026,8,149.01
Haryana,RL,2026,8,147.0
Himachal Pradesh,AL,2026,8,141.97
Himachal Pradesh,RL,2026,8,144.18
Jammu and Kashmir,AL,2026,8,150.73
Jammu and Kashmir,RL,2026,8,151.45
Jharkhand,AL,2026,8,137.57
Jharkhand,RL,2026,8,137.03
Karnataka,AL,2026,8,146.93
Karnataka,RL,2026,8,147.51
Kerala,AL,2026,8,142.12
Kerala,RL,2026,8,142.62
Lakshadweep,AL,2026,8,140.17
Lakshadweep,RL,2026,8,137.48
Madhya Pradesh,AL,2026,8,140.66
Madhya Pradesh,RL,2026,8,141.18
Maharashtra,AL,2026,8,141.57
Maharashtra,RL,2026,8,141.81
Manipur,AL,2026,8,147.88
Manipur,RL,2026,8,146.43
Meghalaya,AL,2026,8,144.22
Meghalaya,RL,2026,8,144.26
Mizoram,AL,2026,8,152.18
Mizoram,RL,2026,8,150.09
Nagaland,AL,2026,8,142.43
Nagaland,RL,2026,8,143.93
Odisha,AL,2026,8,137.33
Odisha,RL,2026,8,137.59
Puducherry,AL,2026,8,143.61
Puducherry,RL,2026,8,143.85
Punjab,AL,2026,8,142.73
Punjab,RL,2026,8,142.15
Rajasthan,AL,2026,8,143.87
Rajasthan,RL,2026,8,143.39
Sikkim,AL,2026,8,141.1
Sikkim,RL,2026,8,140.58
Tamil Nadu,AL,2026,8,142.04
Tamil Nadu,RL,2026,8,141.76
Telangana,AL,2026,8,148.85
Telangana,RL,2026,8,148.7
Tripura,AL,2026,8,138.47
Tripura,RL,2026,8,137.56
Uttar Pradesh,AL,2026,8,144.09
Uttar Pradesh,RL,2026,8,143.91
Uttarakhand,AL,2026,8,137.96
Uttarakhand,RL,2026,8,137.42
West Bengal,AL,2026,8,139.35
West Bengal,RL,2026,8,138.78
