market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
289.0,Gingee APMC,tomato,Tamil Nadu,Villupuram,11.9398285,79.4945645,district,T1_Kolar,Kolar APMC,Karnataka,199.1
292.0,Ulundurpettai APMC,tomato,Tamil Nadu,Villupuram,11.9398285,79.4945645,district,T1_Kolar,Kolar APMC,Karnataka,199.1
294.0,Santir Bazar APMC,tomato,Tripura,South Tripura,23.1708278,91.638817,district,T4_Solan,Solan APMC,Himachal Pradesh,1673.4
295.0,Bishalgarh APMC,tomato,Tripura,Sepahijala,23.6658005,91.3200275,district,T4_Solan,Solan APMC,Himachal Pradesh,1615.9
296.0,Teliamura APMC,tomato,Tripura,Khowai,23.9563913,91.642107,district,T4_Solan,Solan APMC,Himachal Pradesh,1626.4
297.0,Agra APMC,tomato,Uttar Pradesh,Agra,27.1752554,78.0098161,district,T4_Solan,Solan APMC,Himachal Pradesh,423.7
298.0,Prayagraj APMC,tomato,Uttar Pradesh,Prayagraj,25.4381302,81.8338005,district,T4_Solan,Solan APMC,Himachal Pradesh,763.5
299.0,Bahraich APMC,tomato,Uttar Pradesh,Bahraich,27.7343823,81.47654,district,T4_Solan,Solan APMC,Himachal Pradesh,550.3
300.0,Ballia APMC,tomato,Uttar Pradesh,Ballia,25.8749595,84.1210329,district,T4_Solan,Solan APMC,Himachal Pradesh,884.0
301.0,Barabanki APMC,tomato,Uttar Pradesh,Barabanki,26.9421406,81.3856087,district,T4_Solan,Solan APMC,Himachal Pradesh,605.5
302.0,Bareilly APMC,tomato,Uttar Pradesh,Bareilly,28.4582345,79.4047452,district,T4_Solan,Solan APMC,Himachal Pradesh,350.5
303.0,Dehradoon APMC,tomato,Uttarakhand,Dehradoon,30.0668,79.0193,state,T4_Solan,Solan APMC,Himachal Pradesh,204.7
305.0,Farukhabad APMC,tomato,Uttar Pradesh,Farukhabad,26.8467,80.9462,state,T4_Solan,Solan APMC,Himachal Pradesh,585.2
306.0,Ghaziabad APMC,tomato,Uttar Pradesh,Ghaziabad,28.7749966,77.4586967,district,T4_Solan,Solan APMC,Himachal Pradesh,239.1
307.0,Gorakhpur APMC,tomato,Uttar Pradesh,Gorakhpur,26.6677977,83.3642334,district,T4_Solan,Solan APMC,Himachal Pradesh,769.6
308.0,Hardoi APMC,tomato,Uttar Pradesh,Hardoi,27.3369978,80.0998232,district,T4_Solan,Solan APMC,Himachal Pradesh,491.2
309.0,Etawah APMC,tomato,Uttar Pradesh,Etawah,26.7155629,79.0917098,district,T4_Solan,Solan APMC,Himachal Pradesh,503.9
310.0,Jaunpur APMC,tomato,Uttar Pradesh,Jaunpur,25.7967065,82.4888992,district,T4_Solan,Solan APMC,Himachal Pradesh,773.7
311.0,Kanpur(Grain) APMC,tomato,Uttar Pradesh,Kanpur,26.4609135,80.3217588,district,T4_Solan,Solan APMC,Himachal Pradesh,584.6
313.0,Lakhimpur APMC,tomato,Uttar Pradesh,Lakhimpur,27.9850602,80.7538454,district,T4_Solan,Solan APMC,Himachal Pradesh,478.9
314.0,Lalitpur APMC,tomato,Uttar Pradesh,Lalitpur,24.6999688,78.51862,district,T4_Solan,Solan APMC,Himachal Pradesh,703.5
