year,month,product,mrp_rs_per_mt,source_url
2018,5,16-20-0-13,17890.32,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,17-17-17,21300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,19-19-19,22666.43,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,20-20-0,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,20-20-0-13,18722.31,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,24-24-0,22535.48,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,24-24-0-8,21514.84,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,28-28-0,25080.6,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Ammonium Sulphate,11972.8,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,City Compost,4013.13,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,DAP,24731.28,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Imported 10-26-26,22888.52,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Imported 15-15-15-9,18400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Imported 16-16-16,18800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Imported 20-20-0-13,18460.7,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Imported DAP,24525.27,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,MOP,13542.68,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,SSP Zincated (Granular),7776.77,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,SSP Zincated (Powder),7379.13,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,SSP-Boronated,7956.15,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,SSP-Granular,7761.56,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,SSP-Powdered,7258.98,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Zincated 20-20-0-13,19320.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,5,Zincated DAP,25069.23,https://fert.gov.in/sites/default/files/2025-05/Monthly_Bulletin_for_the_month_of_May_2018_0.pdf
2018,6,10-26-26,23550.26,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,12-32-16,23733.78,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,14-35-14,25500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,15-15-15,19425.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,16-20-0-13,18100.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,17-17-17,21300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,19-19-19,23514.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,20-20-0,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,20-20-0-13,18980.42,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,24-24-0,22786.67,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,24-24-0-8,23100.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,28-28-0,25500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Ammonium Sulphate,11958.33,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,City Compost,3933.14,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,DAP,25449.68,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Imported 10-26-26,23250.62,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Imported 15-15-15-9,18400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Imported 16-16-16,18800.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Imported 20-20-0-13,18524.69,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Imported DAP,25164.02,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,MOP,13687.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,SSP Zincated (Granular),7788.24,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,SSP Zincated (Powder),7363.5,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,SSP-Boronated,7862.31,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,SSP-Granular,7775.29,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,SSP-Powdered,7308.37,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Zincated 20-20-0-13,19320.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,6,Zincated DAP,25500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_for_the_month_of_June_2018.pdf
2018,7,10-26-26,23646.84,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,12-32-16,23997.68,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,14-35-14,25500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,15-15-15,27153.42,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,16-20-0-13,18100.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,17-17-17,21300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,19-19-19,23560.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,20-20-0,17300.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,20-20-0-13,19058.78,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,20-20-0-13(UAP),20140.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,24-24-0,23245.16,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,24-24-0-8,23100.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,28-28-0,25500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Ammonium Sulphate,12020.4,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,City Compost,4001.93,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,DAP,25706.15,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported 10-26-26,23212.1,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported 12-32-16,22855.56,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported 15-15-15-9,18400.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported 16-16-16,19500.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported 20-20-0-13,18701.38,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Imported DAP,25414.29,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,MOP,13790.74,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,SSP Zincated (Granular),7699.76,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,SSP Zincated (Powder),7392.25,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,SSP-Boronated,7898.38,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,SSP-Granular,7889.54,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,SSP-Powdered,7416.6,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Urea,5360.0,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
2018,7,Zincated 20-20-0-13,19085.16,https://fert.gov.in/sites/default/files/2025-05/Monthly_bulletin_month_of_July_2018.pdf
