state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Uttar Pradesh,Jalaun (Orai),25.9895758,79.4538041,25.875,79.375,14.98
Uttar Pradesh,Sonbhadra,24.4148159,83.0637517,24.375,83.125,7.62
Uttar Pradesh,Aligarh,27.8761073,78.1358153,27.875,78.125,1.07
Uttar Pradesh,Balrampur,27.4476988,82.3956245,27.375,82.375,8.34
Uttar Pradesh,Chandauli,25.125695,83.2494601,25.125,83.125,12.53
Uttar Pradesh,Banda,25.4438537,80.5595237,25.375,80.625,10.09
Uttar Pradesh,Siddharth Nagar,27.2752892,83.0675485,27.375,83.125,12.46
Uttar Pradesh,Gautam Budh Nagar,28.4492122,77.5281018,28.375,77.625,12.57
Uttar Pradesh,Hathras,27.5724324,78.1116209,27.625,78.125,5.99
Uttar Pradesh,Hamirpur,25.75,80.0,25.875,79.875,18.7
Haryana,Panchkula,30.6975401,76.8551066,30.625,76.875,8.29
Haryana,Yamuna Nagar,30.1389108,77.301064,30.125,77.375,7.28
Haryana,Mewat,27.9935177,77.0419634,27.875,77.125,15.5
Haryana,Hissar,29.8222115,76.4209375,29.875,76.375,7.35
Haryana,Kaithal,29.7996588,76.3989903,29.875,76.375,8.69
Haryana,Karnal,29.7255766,76.9106924,29.625,76.875,11.7
Maharashtra,Nandurbar,21.5141622,74.5405513,21.625,74.625,15.1
Uttar Pradesh,Chitrakut,25.2173874,80.9236326,25.125,80.875,11.38
Keralam,Alappuzha,9.5003416,76.4123364,9.625,76.375,14.45
Keralam,Thiruvananthapuram,8.4882267,76.947551,8.625,76.875,17.17
Keralam,Kasargod,12.4914722,74.9877613,12.375,75.125,19.74
Maharashtra,Chandrapur,20.0967555,79.5045475,20.125,79.625,12.96
Jammu and Kashmir,Kathua,32.3765524,75.5243044,32.375,75.625,9.46
Uttar Pradesh,Ayodhya,26.7990707,82.2052321,26.875,82.125,11.6
Uttar Pradesh,Sant Kabir Nagar,26.755082,83.0398545,26.875,83.125,15.79
Tamil Nadu,Thiruvarur,10.6878621,79.4979437,10.625,79.375,15.14
West Bengal,Medinipur(E),22.4207025,87.3269963,22.375,87.375,7.08
Rajasthan,Kota,25.1737019,75.8574194,25.125,75.875,5.7
Punjab,Nawanshahr,31.126969,76.1598988,31.125,76.125,3.33
West Bengal,Darjeeling,27.0377554,88.263176,27.125,88.375,14.72
Gujarat,Rajkot,22.3053263,70.8028377,22.375,70.875,10.73
