crop,week_start,era5_tmax,era5_tmin,era5_tmean,era5_dtr,era5_heat_35,era5_heat_38,chirps_rain_mm,chirps_rain_max,chirps_excess,s2_ndvi,s2_evi,s2_valid_frac,s2_ndvi_anom,modis_ndvi,modis_evi,modis_lst_mean,modis_lst_max,modis_lst_frac35
onion,2024-11-18,28.518627468750807,17.129532725976894,22.679029286916666,11.389094742773914,0.0,0.0,3.8527526717770026,1.5514851063489914,0.0,0.4367172303549521,-3571076.2267906973,0.7311205155606662,0.03155725333613505,0.4949134941729902,0.276479586840137,27.654566978786548,32.35250000000003,0.00010766999981083847
onion,2024-11-25,27.984825345284357,16.91189328047338,22.262832316105584,11.072932064810978,0.0,0.0,22.207965474228914,8.168798677623272,0.0,0.4367172303549521,-3571076.2267906973,0.7311205155606662,0.04166374021483439,0.4949134941729902,0.276479586840137,27.654566978786548,32.35250000000003,0.00010766999981083847
onion,2024-12-02,28.77236989731061,19.623977189009615,23.962875567709045,9.148392708300996,0.0,0.0,6.885493361012652,2.0009549036622047,0.0,0.415750675192647,8856264.730392605,0.7253235686877237,0.022621670162814377,0.4926237362444438,0.26582169388128835,27.35309573831872,32.03000000000004,1.6817119431884685e-05
onion,2024-12-09,27.238378600146607,15.73789493423042,21.117626298944344,11.500483665916187,0.0,0.0,2.3521881382634025,0.8799682110548019,0.0,0.415750675192647,8856264.730392605,0.7253235686877237,0.009334792634854282,0.4926237362444438,0.26582169388128835,26.520853474006692,30.80250000000003,0.0
onion,2024-12-16,28.319204986418345,15.3516807049613,21.6642672829883,12.967524281457044,0.0,0.0,4.399138104954286,1.0072232969105244,0.0,0.3907849355130075,-21816718.140456364,0.7329066296483874,-0.010673486122591516,0.4920994198916988,0.292105197942619,26.336468449273713,30.29500000000003,0.0
onion,2024-12-23,27.155298109940308,17.784590850772478,22.21442756357439,9.370707259167828,0.0,0.0,2.27138937905773,1.1010525189340115,0.0,0.3907849355130075,-21816718.140456364,0.7329066296483874,0.008004398083905365,0.4920994198916988,0.292105197942619,27.045062464332776,31.235000000000028,0.0
onion,2024-12-30,29.07285068743081,16.350917258898935,22.397467015015316,12.721933428531878,0.0,0.0,0.3948769155048568,0.14846463650465008,0.0,0.39695288872945017,1.162602747273488,0.9934430824026574,0.02629664611382711,0.494802897809966,0.2887101435581051,27.09921875120385,29.987500000000033,0.0
onion,2025-01-06,27.41455668746517,15.255093368264975,21.17305126390325,12.159463319200194,0.0,0.0,0.5765020466541795,0.11288783997297283,0.0,0.39695288872945017,1.162602747273488,0.9934430824026574,0.019788587694303802,0.46828153775483405,0.25900685533443235,25.801849453219805,28.84250000000003,0.0
onion,2025-01-13,28.230506424291168,16.972547097238195,22.434416003688558,11.257959327052973,0.0,0.0,0.2677280170717817,0.10929895713925357,0.0,0.37708219579902014,0.9185227399896172,0.9993637958407204,0.013256509385695225,0.45827221593105105,0.25695813285321917,27.761752427394168,30.885000000000026,0.0002684836046012125
onion,2025-01-20,30.14992964467892,16.67520048884461,23.150410891531756,13.47472915583431,0.0,0.0,0.6084322558439658,0.1362552776932716,0.0,0.37708219579902014,0.9185227399896172,0.9993637958407204,0.02034490492700495,0.45101832504219697,0.24987840505883066,29.239990091522696,32.93750000000003,0.00964979209191195
onion,2025-01-27,31.003586355992688,16.73842889226296,23.73121047683272,14.265157463729729,0.0,0.0,0.3208280713501765,0.14081787541508672,0.0,0.34825597739919845,0.807177703737066,0.999293785855527,0.005006766552743645,0.4336064288515858,0.2502487872278079,29.945821498849647,33.785000000000025,0.07669812056513717
onion,2025-02-03,31.32470428760326,17.959429626693534,24.60699476261575,13.365274660909728,0.046822812291249155,0.0,0.33159104515822674,0.15010326765477652,0.0,0.34825597739919845,0.807177703737066,0.999293785855527,0.01879020073127262,0.4336064288515858,0.2502487872278079,29.945821498849647,33.785000000000025,0.07669812056513717
onion,2025-02-10,32.34151955741449,18.061891247908004,25.098423783110405,14.279628309506485,0.29915014040334353,0.0,0.6750041651106096,0.15512627623975275,0.0,0.30537639373108255,0.7524404902107933,0.9926672890321041,-0.0048003376702643735,0.4219881259457088,0.2370053853171485,32.131668974236355,36.12250000000003,0.12239893601596408
onion,2025-02-17,33.1021814197957,19.34142594510733,26.207549157946932,13.760755474688374,0.8823720569969215,0.0,0.34541263509094544,0.14405501149594782,0.0,0.30537639373108255,0.7524404902107933,0.9926672890321041,0.008630866253261694,0.3985541609609621,0.22893925061054898,33.09375873896634,37.387500000000024,0.21630414773180354
