crop,fold,horizon_weeks,n_train,train_start,test_start,test_end,RMSE,MAE,MAPE,R2,N
potato,0,26,23537,2003-01-13,2017-01-01,2017-12-31,319.7,281.3,45.22,0.0415,3618
potato,1,1,29213,2003-01-13,2018-01-01,2018-12-31,147.1,106.0,11.26,0.8637,3780
potato,1,4,28652,2003-01-13,2018-01-01,2018-12-31,217.0,162.3,16.34,0.6945,3774
potato,1,13,27610,2003-01-13,2018-01-01,2018-12-31,444.0,359.0,30.9,-0.1747,3773
potato,1,26,27155,2003-01-13,2018-01-01,2018-12-31,235.0,173.9,19.29,0.6447,3774
potato,2,1,32993,2003-01-13,2019-01-01,2019-12-31,289.8,180.7,16.15,0.6263,3741
potato,2,4,32426,2003-01-13,2019-01-01,2019-12-31,396.9,255.1,21.08,0.3304,3736
potato,2,13,31383,2003-01-13,2019-01-01,2019-12-31,482.8,369.1,29.37,-0.2054,3679
potato,2,26,30929,2003-01-13,2019-01-01,2019-12-31,559.8,428.4,28.67,-0.5008,3526
potato,3,1,36734,2003-01-13,2020-01-01,2020-12-31,502.6,399.5,18.77,0.4699,3301
potato,3,4,36162,2003-01-13,2020-01-01,2020-12-31,554.0,469.0,26.31,0.4356,3237
potato,3,13,35062,2003-01-13,2020-01-01,2020-12-31,941.3,847.4,62.08,-0.227,3139
potato,3,26,34455,2003-01-13,2020-01-01,2020-12-31,894.0,808.0,69.66,0.0395,3155
potato,4,1,40035,2003-01-13,2021-01-01,2021-12-31,259.4,202.6,21.34,0.4364,3523
potato,4,4,39399,2003-01-13,2021-01-01,2021-12-31,279.7,212.1,23.06,0.3077,3497
potato,4,13,38201,2003-01-13,2021-01-01,2021-12-31,458.9,356.7,35.74,-0.9976,3481
potato,4,26,37610,2003-01-13,2021-01-01,2021-12-31,611.1,525.5,46.84,-0.8685,3529
potato,5,1,43558,2003-01-13,2022-01-01,2022-12-31,257.1,186.9,12.82,0.7703,3716
potato,5,4,42896,2003-01-13,2022-01-01,2022-12-31,409.3,318.0,21.82,0.4381,3712
potato,5,13,41682,2003-01-13,2022-01-01,2022-12-31,710.5,564.7,49.03,-0.3525,3694
potato,5,26,41139,2003-01-13,2022-01-01,2022-12-31,587.5,479.4,42.06,-0.0344,3682
potato,6,1,47274,2003-01-13,2023-01-01,2023-12-31,154.9,123.3,10.91,0.8392,3700
potato,6,4,46608,2003-01-13,2023-01-01,2023-12-31,212.5,165.4,14.78,0.6814,3695
potato,6,13,45376,2003-01-13,2023-01-01,2023-12-31,319.1,270.3,21.12,0.0181,3687
potato,6,26,44821,2003-01-13,2023-01-01,2023-12-31,514.9,372.0,22.39,-0.1974,3679
potato,7,1,50974,2003-01-13,2024-01-01,2024-12-31,291.9,225.4,11.17,0.7884,3788
potato,7,4,50303,2003-01-13,2024-01-01,2024-12-31,410.4,324.5,16.15,0.5631,3782
potato,7,13,49063,2003-01-13,2024-01-01,2024-12-31,804.2,713.9,33.22,-0.5267,3772
potato,7,26,48500,2003-01-13,2024-01-01,2024-12-31,593.4,466.4,25.26,0.2628,3765
potato,8,1,54762,2003-01-13,2025-01-01,2025-12-31,187.9,148.4,13.09,0.6444,3672
potato,8,4,54085,2003-01-13,2025-01-01,2025-12-31,319.1,265.6,23.37,-0.0721,3648
potato,8,13,52835,2003-01-13,2025-01-01,2025-12-31,512.9,458.9,44.55,-1.2269,3607
potato,8,26,52265,2003-01-13,2025-01-01,2025-12-31,445.5,372.1,46.01,-0.4756,3592
