crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,164,Maharashtra,26,43.0,215,43.1,43.3,14231,43.2,33.1
onion,165,Maharashtra,1,13.9,5,18.9,19.4,16136,19.4,14.6
onion,165,Maharashtra,4,23.3,2,27.5,27.7,15864,27.7,20.9
onion,168,Maharashtra,1,21.5,240,21.1,19.4,16136,19.4,14.6
onion,168,Maharashtra,4,31.4,237,30.7,27.7,15864,27.7,20.9
onion,168,Maharashtra,13,41.8,228,41.5,40.4,15133,40.4,29.5
onion,168,Maharashtra,26,47.2,215,46.4,43.3,14231,43.2,33.1
onion,169,Maharashtra,1,17.6,142,18.1,19.4,16136,19.4,14.6
onion,169,Maharashtra,4,23.8,139,24.9,27.7,15864,27.7,20.9
onion,169,Maharashtra,13,37.1,130,38.0,40.4,15133,40.4,29.5
onion,169,Maharashtra,26,45.2,117,44.6,43.3,14231,43.2,33.1
onion,171,Manipur,1,12.3,213,12.4,12.6,510,12.9,14.6
onion,171,Manipur,4,17.6,204,17.7,18.0,486,18.5,20.9
onion,171,Manipur,13,24.0,183,24.4,24.7,426,25.6,29.5
onion,171,Manipur,26,34.5,176,34.5,35.0,405,34.6,33.1
onion,172,Madhya Pradesh,1,23.4,136,23.6,24.5,5705,24.3,14.6
onion,172,Madhya Pradesh,4,35.0,133,34.7,34.3,5472,34.0,20.9
onion,172,Madhya Pradesh,13,50.9,124,51.4,53.1,4884,52.6,29.5
onion,172,Madhya Pradesh,26,62.1,111,61.5,60.8,4290,60.2,33.1
onion,173,Madhya Pradesh,1,24.2,146,24.2,24.5,5705,24.3,14.6
onion,173,Madhya Pradesh,4,38.9,137,37.6,34.3,5472,34.0,20.9
onion,173,Madhya Pradesh,13,55.2,110,54.4,53.1,4884,52.6,29.5
onion,173,Madhya Pradesh,26,39.3,87,47.1,60.8,4290,60.2,33.1
onion,179,Madhya Pradesh,1,24.3,163,24.3,24.5,5705,24.3,14.6
onion,179,Madhya Pradesh,4,34.1,154,34.0,34.3,5472,34.0,20.9
onion,179,Madhya Pradesh,13,56.8,132,55.6,53.1,4884,52.6,29.5
onion,179,Madhya Pradesh,26,60.8,106,60.6,60.8,4290,60.2,33.1
onion,182,Madhya Pradesh,1,26.8,240,26.4,24.5,5705,24.3,14.6
onion,182,Madhya Pradesh,4,37.2,237,36.6,34.3,5472,34.0,20.9
onion,182,Madhya Pradesh,13,55.2,228,54.7,53.1,4884,52.6,29.5
onion,182,Madhya Pradesh,26,55.8,215,56.6,60.8,4290,60.2,33.1
onion,184,Chattisgarh,1,19.0,240,18.4,16.2,947,16.0,14.6
onion,184,Chattisgarh,4,26.9,237,26.2,23.4,932,23.1,20.9
onion,184,Chattisgarh,13,44.1,228,42.5,36.2,890,35.6,29.5
onion,184,Chattisgarh,26,42.4,215,41.4,37.6,838,37.2,33.1
onion,186,Madhya Pradesh,1,27.3,137,26.5,24.5,5705,24.3,14.6
onion,186,Madhya Pradesh,4,37.9,134,36.8,34.3,5472,34.0,20.9
onion,186,Madhya Pradesh,13,58.3,125,56.6,53.1,4884,52.6,29.5
onion,186,Madhya Pradesh,26,72.6,112,68.6,60.8,4290,60.2,33.1
onion,199,Odisha,1,15.4,240,15.2,14.0,5232,14.0,14.6
onion,199,Odisha,4,21.1,237,20.8,19.4,5117,19.4,20.9
onion,199,Odisha,13,25.7,228,26.1,28.0,4825,28.0,29.5
onion,199,Odisha,26,25.9,215,27.1,31.8,4500,31.8,33.1
onion,206,Odisha,1,15.3,240,15.1,14.0,5232,14.0,14.6
onion,206,Odisha,4,21.3,237,21.0,19.4,5117,19.4,20.9
onion,206,Odisha,13,34.1,228,33.0,28.0,4825,28.0,29.5
onion,206,Odisha,26,35.2,215,34.5,31.8,4500,31.8,33.1
