feature,mean_abs_shap,layer,pct_of_total,crop,horizon_weeks,rank
wpi_potato,0.01175586124606262,Macro,1.6866300451031664,onion,26,15
price_lag_1,0.2960333492275488,Price,59.85912675492824,potato,1,1
price_lag_2,0.028943312141678248,Price,5.852453430388523,potato,1,2
price_roll_mean_4,0.02049260689923972,Price,4.143687044453955,potato,1,3
cos_week,0.009610683577837531,Price,1.9433186429447993,potato,1,4
era5_tmin,0.009547045420164386,Climate,1.9304507530379806,potato,1,5
wpi_vegetables_total,0.007341900203746959,Macro,1.4845615741093832,potato,1,6
modis_lst_mean_roll4,0.007134442401758119,Satellite,1.4426127771310966,potato,1,7
wpi_potato,0.007084862633542269,Macro,1.4325875497779736,potato,1,8
wage_agri_men,0.0050398932233233365,Infrastructure,1.0190865592454703,potato,1,9
wage_agri_women,0.0047671331879579415,Infrastructure,0.9639333896001617,potato,1,10
era5_tmean,0.004465452904206644,Climate,0.9029324301080914,potato,1,11
chirps_rain_mm_roll8,0.00439095888537542,Climate,0.887869441673384,potato,1,12
price_lag_52,0.0043265589343125625,Price,0.874847514097516,potato,1,13
chirps_rain_max,0.0030218289676757775,Climate,0.6110258985340874,potato,1,14
era5_heat_35_roll8,0.0029809931000546607,Climate,0.6027687228393281,potato,1,15
price_lag_1,0.24596994740968883,Price,41.62342562277627,potato,4,1
cos_week,0.02718838081645016,Price,4.6008610345893555,potato,4,2
modis_lst_max,0.024616869202636497,Satellite,4.16570575028383,potato,4,3
price_roll_mean_4,0.021523920066363743,Price,3.6423119792787464,potato,4,4
price_lag_2,0.0204201124198922,Price,3.4555238941545303,potato,4,5
wage_agri_women,0.01607277240991274,Infrastructure,2.7198601048668647,potato,4,6
era5_tmean,0.015184343723303328,Climate,2.569518789809239,potato,4,7
era5_tmin,0.012554116321906252,Climate,2.12442752656361,potato,4,8
wage_agri_men,0.012017847627602277,Infrastructure,2.0336792853810954,potato,4,9
wpi_fruits_vegetables,0.010731106491291364,Macro,1.8159349042197803,potato,4,10
wpi_potato,0.010122033647936221,Macro,1.7128666291673824,potato,4,11
chirps_rain_mm_roll8,0.008171657194371403,Climate,1.3828208243595566,potato,4,12
price_lag_52,0.007680669413698831,Price,1.2997350913839036,potato,4,13
era5_heat_35_roll8,0.007624685646642355,Climate,1.2902614293016135,potato,4,14
wpi_vegetables_total,0.007565296944969364,Macro,1.280211578769257,potato,4,15
wage_agri_women,0.00981535603536638,Infrastructure,23.01470205623352,potato,13,1
price_lag_1,0.004071793959018735,Price,9.547399448734282,potato,13,2
week_num,0.004045633802343279,Price,9.486060032266796,potato,13,3
lpg_nonsub_4city_rs_cyl,0.00327773999298491,Macro,7.685529601222745,potato,13,4
year_trend,0.002840200407624691,Price,6.659602150543417,potato,13,5
wage_agri_men,0.0022307990538804677,Infrastructure,5.230699262196469,potato,13,6
iip_food_proc,0.0017211085156131456,Macro,4.035594791524475,potato,13,7
cos_week,0.0013939845624282997,Price,3.2685660366958698,potato,13,8
road_density_per_100_sqkm,0.001169309240116745,Infrastructure,2.741755232914807,potato,13,9
wpi_potato,0.001102499817992325,Macro,2.5851028466740598,potato,13,10
price_roll_mean_13,0.0010780488145121136,Price,2.5277709925828407,potato,13,11
state_enc,0.0010027325322942795,Price,2.351172019608148,potato,13,12
price_roll_mean_4,0.0009027239375565174,Price,2.1166753795821625,potato,13,13
diesel_delhi_per_L,0.0007014068432360298,Macro,1.6446341283103498,potato,13,14
import_veg_usd_mn,0.000691127481722741,Macro,1.6205314425082014,potato,13,15
bank_credit_agri_cr,0.014246242919097164,Macro,17.614490334651578,potato,26,1
chirps_rain_mm_roll8,0.008503216473065484,Climate,10.513636839470244,potato,26,2
import_veg_usd_mn,0.008029382905787792,Macro,9.927774529074142,potato,26,3
price_lag_1,0.006143537862573439,Price,7.596058056528203,potato,26,4
price_lag_26,0.005179245910795539,Price,6.403778003405918,potato,26,5
repo_rate_pct,0.005108800952510108,Macro,6.3166777030747845,potato,26,6
s2_evi,0.003798787427182599,Satellite,4.696936925721353,potato,26,7
price_roll_mean_13,0.0029774652993881973,Price,3.6814291343810384,potato,26,8
state_enc,0.0028430822368123772,Price,3.5152738069501432,potato,26,9
lpg_nonsub_4city_rs_cyl,0.002834809003441081,Macro,3.505044528249605,potato,26,10
crude_oil_usd_bbl,0.0026590819001487344,Macro,3.287770164751982,potato,26,11
wage_agri_men,0.0022351498519431303,Infrastructure,2.763607618312693,potato,26,12
wage_agri_women,0.0014249896435790533,Infrastructure,1.7619007654400252,potato,26,13
price_yoy,0.0014101252366956933,Price,1.7435219582791361,potato,26,14
price_lag_52,0.0012591230112056976,Price,1.5568181896778792,potato,26,15
