crop,market_id,market,horizon_weeks,n,mape,wape,diff_pts
onion,152.0,Kolhapur APMC,4,237,24.26,23.84,0.42
onion,152.0,Kolhapur APMC,13,228,39.23,38.0,1.23
onion,152.0,Kolhapur APMC,26,215,43.5,40.23,3.27
onion,155.0,Nagpur APMC,1,240,15.7,16.75,-1.06
onion,155.0,Nagpur APMC,4,237,20.99,23.71,-2.72
onion,155.0,Nagpur APMC,13,228,29.95,35.0,-5.05
onion,155.0,Nagpur APMC,26,215,32.94,38.14,-5.21
onion,159.0,Yeola APMC,1,240,22.88,21.78,1.1
onion,159.0,Yeola APMC,4,237,33.26,30.48,2.78
onion,159.0,Yeola APMC,13,228,49.26,45.67,3.59
onion,159.0,Yeola APMC,26,215,52.97,47.88,5.1
onion,160.0,Nasik APMC,1,240,22.09,21.38,0.71
onion,160.0,Nasik APMC,4,237,29.56,29.42,0.14
onion,160.0,Nasik APMC,13,228,45.03,44.43,0.59
onion,160.0,Nasik APMC,26,215,51.7,47.98,3.72
onion,161.0,Lasalgaon APMC,1,240,19.32,19.62,-0.31
onion,161.0,Lasalgaon APMC,4,237,26.28,26.83,-0.55
onion,161.0,Lasalgaon APMC,13,228,36.16,38.2,-2.04
onion,161.0,Lasalgaon APMC,26,215,39.62,40.81,-1.19
onion,162.0,Pimpalgaon APMC,1,240,20.14,19.86,0.28
onion,162.0,Pimpalgaon APMC,4,237,26.99,27.78,-0.79
onion,162.0,Pimpalgaon APMC,13,228,35.88,38.71,-2.82
onion,162.0,Pimpalgaon APMC,26,215,39.08,41.39,-2.32
onion,164.0,Pune APMC,1,240,19.19,18.78,0.41
onion,164.0,Pune APMC,4,237,28.09,27.87,0.22
onion,164.0,Pune APMC,13,228,41.26,41.53,-0.27
onion,164.0,Pune APMC,26,215,44.66,43.02,1.64
onion,168.0,Solapur APMC,1,240,22.13,21.51,0.62
onion,168.0,Solapur APMC,4,237,33.21,31.41,1.8
onion,168.0,Solapur APMC,13,228,45.43,41.77,3.66
onion,168.0,Solapur APMC,26,215,55.21,47.2,8.01
onion,169.0,Kalyan APMC,1,142,17.93,17.58,0.35
onion,169.0,Kalyan APMC,4,139,22.22,23.84,-1.62
onion,169.0,Kalyan APMC,13,130,35.03,37.07,-2.04
onion,169.0,Kalyan APMC,26,117,46.32,45.22,1.1
onion,171.0,Lamlong Bazaar APMC,1,213,11.61,12.32,-0.71
onion,171.0,Lamlong Bazaar APMC,4,204,16.2,17.56,-1.36
onion,171.0,Lamlong Bazaar APMC,13,183,20.49,24.03,-3.54
onion,171.0,Lamlong Bazaar APMC,26,176,30.08,34.47,-4.39
onion,172.0,Bhopal APMC,1,136,26.28,23.4,2.88
onion,172.0,Bhopal APMC,4,133,38.67,34.95,3.71
onion,172.0,Bhopal APMC,13,124,63.68,50.87,12.82
onion,172.0,Bhopal APMC,26,111,85.56,62.14,23.42
onion,173.0,Bhopal(F&V) APMC,1,146,26.06,24.19,1.87
onion,173.0,Bhopal(F&V) APMC,4,137,42.22,38.93,3.3
onion,173.0,Bhopal(F&V) APMC,13,110,60.91,55.21,5.7
onion,173.0,Bhopal(F&V) APMC,26,87,40.45,39.33,1.12
onion,179.0,Indore(F&V) APMC,1,163,25.1,24.34,0.76
onion,179.0,Indore(F&V) APMC,4,154,35.79,34.05,1.74
onion,179.0,Indore(F&V) APMC,13,132,63.57,56.79,6.78
onion,179.0,Indore(F&V) APMC,26,106,67.61,60.85,6.76
onion,182.0,Neemuch APMC,1,240,44.76,26.82,17.94
onion,182.0,Neemuch APMC,4,237,64.61,37.19,27.41
onion,182.0,Neemuch APMC,13,228,90.18,55.21,34.97
onion,182.0,Neemuch APMC,26,215,86.9,55.77,31.12
onion,184.0,Rajnandgaon APMC,1,240,19.31,18.95,0.36
onion,184.0,Rajnandgaon APMC,4,237,27.84,26.93,0.91
onion,184.0,Rajnandgaon APMC,13,228,48.64,44.08,4.55
onion,184.0,Rajnandgaon APMC,26,215,44.94,42.38,2.56
onion,186.0,Ujjain APMC,1,137,39.4,27.28,12.12
onion,186.0,Ujjain APMC,4,134,56.4,37.9,18.5
onion,186.0,Ujjain APMC,13,125,95.09,58.33,36.76
onion,186.0,Ujjain APMC,26,112,133.49,72.57,60.93
onion,199.0,Bargarh APMC,1,240,14.77,15.43,-0.66
onion,199.0,Bargarh APMC,4,237,20.89,21.12,-0.22
onion,199.0,Bargarh APMC,13,228,26.32,25.7,0.62
onion,199.0,Bargarh APMC,26,215,24.14,25.92,-1.78
onion,206.0,Kesinga APMC,1,240,14.9,15.31,-0.41
onion,206.0,Kesinga APMC,4,237,19.2,21.34,-2.14
onion,206.0,Kesinga APMC,13,228,32.58,34.13,-1.55
onion,206.0,Kesinga APMC,26,215,30.2,35.17,-4.97
onion,207.0,Bhawanipatna APMC,1,179,16.79,15.7,1.09
onion,207.0,Bhawanipatna APMC,4,167,24.38,22.62,1.76
onion,207.0,Bhawanipatna APMC,13,135,29.44,28.98,0.47
onion,207.0,Bhawanipatna APMC,26,133,29.38,31.22,-1.84
onion,216.0,Tarantaran APMC,1,83,13.1,13.52,-0.42
onion,216.0,Tarantaran APMC,4,80,20.29,20.65,-0.36
onion,216.0,Tarantaran APMC,13,71,29.28,27.59,1.69
onion,216.0,Tarantaran APMC,26,58,33.81,31.29,2.53
onion,218.0,Fazilka APMC,1,83,16.28,17.6,-1.32
onion,218.0,Fazilka APMC,4,80,23.9,25.51,-1.62
onion,218.0,Fazilka APMC,13,71,26.71,27.08,-0.37
onion,218.0,Fazilka APMC,26,58,20.61,20.29,0.33
onion,219.0,Jalalabad APMC,1,83,12.4,13.51,-1.1
onion,219.0,Jalalabad APMC,4,80,18.56,20.46,-1.9
onion,219.0,Jalalabad APMC,13,71,19.25,20.16,-0.91
onion,219.0,Jalalabad APMC,26,58,23.14,23.56,-0.42
onion,226.0,Khanna APMC,1,83,15.21,15.6,-0.39
onion,226.0,Khanna APMC,4,80,23.37,23.54,-0.18
onion,226.0,Khanna APMC,13,71,30.54,27.85,2.69
onion,226.0,Khanna APMC,26,58,46.22,41.2,5.02
onion,228.0,Baghapurana APMC,1,78,10.44,11.51,-1.07
onion,228.0,Baghapurana APMC,4,75,19.39,20.77,-1.39
onion,228.0,Baghapurana APMC,13,66,20.81,21.58,-0.77
onion,228.0,Baghapurana APMC,26,53,15.74,16.21,-0.46
onion,230.0,Muktsar APMC,1,83,14.18,15.71,-1.53
onion,230.0,Muktsar APMC,4,80,20.56,22.05,-1.49
onion,230.0,Muktsar APMC,13,71,29.31,27.71,1.6
onion,230.0,Muktsar APMC,26,58,46.9,44.15,2.74
onion,231.0,Malout APMC,1,83,20.25,19.54,0.71
onion,231.0,Malout APMC,4,80,22.43,23.01,-0.58
onion,231.0,Malout APMC,13,71,29.08,28.76,0.33
onion,231.0,Malout APMC,26,58,21.69,20.31,1.38
onion,232.0,Patiala APMC,1,83,26.25,21.17,5.08
onion,232.0,Patiala APMC,4,80,49.83,34.35,15.47
onion,232.0,Patiala APMC,13,71,83.01,47.97,35.04
onion,232.0,Patiala APMC,26,58,112.84,58.68,54.16
onion,233.0,Patran APMC,1,83,16.83,16.61,0.22
onion,233.0,Patran APMC,4,80,27.77,27.22,0.54
onion,233.0,Patran APMC,13,71,47.83,44.7,3.12
onion,233.0,Patran APMC,26,58,86.74,77.68,9.05
onion,234.0,Samana APMC,1,60,11.25,13.28,-2.03
onion,234.0,Samana APMC,4,54,19.6,22.11,-2.52
onion,234.0,Samana APMC,13,36,28.81,28.31,0.5
onion,234.0,Samana APMC,26,26,38.43,36.7,1.73
onion,235.0,Nabha APMC,1,83,18.3,18.5,-0.2
onion,235.0,Nabha APMC,4,80,28.19,28.5,-0.31
onion,235.0,Nabha APMC,13,71,41.0,37.39,3.61
onion,235.0,Nabha APMC,26,58,64.42,55.01,9.41
onion,237.0,Dhuri APMC,1,83,13.5,14.52,-1.02
onion,237.0,Dhuri APMC,4,80,20.89,21.89,-1.0
onion,237.0,Dhuri APMC,13,71,23.26,23.35,-0.09
onion,237.0,Dhuri APMC,26,58,26.19,24.75,1.44
onion,239.0,Sunam APMC,1,83,12.81,13.96,-1.15
onion,239.0,Sunam APMC,4,80,20.14,21.08,-0.93
onion,239.0,Sunam APMC,13,71,24.58,24.74,-0.17
onion,239.0,Sunam APMC,26,58,37.15,35.39,1.76
onion,240.0,Bhawanigarh APMC,1,83,13.39,14.39,-1.0
onion,240.0,Bhawanigarh APMC,4,80,23.85,24.59,-0.74
onion,240.0,Bhawanigarh APMC,13,71,29.39,28.31,1.08
onion,240.0,Bhawanigarh APMC,26,58,45.04,41.52,3.52
onion,244.0,Alwar APMC,1,38,19.36,21.41,-2.06
onion,244.0,Alwar APMC,4,35,24.72,28.96,-4.23
onion,244.0,Alwar APMC,13,26,34.63,38.4,-3.76
onion,244.0,Alwar APMC,26,13,40.04,42.05,-2.01
onion,250.0,Bhilwara APMC,1,83,14.16,15.21,-1.05
onion,250.0,Bhilwara APMC,4,80,20.2,21.73,-1.53
onion,250.0,Bhilwara APMC,13,71,49.96,48.83,1.13
onion,250.0,Bhilwara APMC,26,58,74.95,68.9,6.05
onion,253.0,Pratapgarh APMC,1,83,22.88,21.98,0.9
onion,253.0,Pratapgarh APMC,4,80,38.34,35.73,2.61
onion,253.0,Pratapgarh APMC,13,71,93.46,82.85,10.61
onion,253.0,Pratapgarh APMC,26,58,148.86,129.16,19.7
onion,259.0,Sangriya APMC,1,83,18.99,17.0,2.0
onion,259.0,Sangriya APMC,4,80,23.64,20.52,3.12
onion,259.0,Sangriya APMC,13,71,44.05,38.56,5.49
onion,259.0,Sangriya APMC,26,58,58.64,53.98,4.66
onion,261.0,Jaipur (F&V) APMC,1,83,13.73,14.13,-0.4
onion,261.0,Jaipur (F&V) APMC,4,80,23.01,23.79,-0.78
onion,261.0,Jaipur (F&V) APMC,13,71,58.86,55.98,2.88
onion,261.0,Jaipur (F&V) APMC,26,58,94.38,85.74,8.64
onion,265.0,Nawalgarh APMC,1,80,16.59,16.23,0.36
onion,265.0,Nawalgarh APMC,4,77,30.34,29.24,1.1
onion,265.0,Nawalgarh APMC,13,68,80.38,75.94,4.44
onion,265.0,Nawalgarh APMC,26,55,112.63,102.54,10.09
onion,266.0,Jodhpur (F&V) APMC,1,83,17.43,16.34,1.09
onion,266.0,Jodhpur (F&V) APMC,4,80,31.88,29.66,2.22
onion,266.0,Jodhpur (F&V) APMC,13,71,99.52,90.33,9.19
onion,266.0,Jodhpur (F&V) APMC,26,58,160.74,142.55,18.18
onion,292.0,Ulundurpettai APMC,1,83,11.43,11.9,-0.47
onion,292.0,Ulundurpettai APMC,4,80,13.2,14.06,-0.86
onion,292.0,Ulundurpettai APMC,13,71,14.46,14.36,0.1
onion,292.0,Ulundurpettai APMC,26,58,12.19,12.95,-0.76
onion,296.0,Teliamura APMC,1,83,9.31,9.65,-0.34
onion,296.0,Teliamura APMC,4,80,14.29,14.81,-0.52
onion,296.0,Teliamura APMC,13,71,18.58,18.66,-0.08
onion,296.0,Teliamura APMC,26,58,17.56,17.0,0.56
onion,297.0,Agra APMC,1,83,16.22,16.55,-0.33
onion,297.0,Agra APMC,4,80,26.32,26.05,0.26
onion,297.0,Agra APMC,13,71,37.49,35.62,1.87
onion,297.0,Agra APMC,26,58,70.1,59.82,10.29
onion,298.0,Prayagraj APMC,1,83,12.39,14.76,-2.36
onion,298.0,Prayagraj APMC,4,80,21.07,22.18,-1.11
onion,298.0,Prayagraj APMC,13,71,32.92,30.42,2.5
onion,298.0,Prayagraj APMC,26,58,67.56,59.31,8.26
onion,299.0,Bahraich APMC,1,83,13.62,14.73,-1.11
onion,299.0,Bahraich APMC,4,80,20.75,20.89,-0.15
onion,299.0,Bahraich APMC,13,71,35.62,33.37,2.25
onion,299.0,Bahraich APMC,26,58,74.49,62.75,11.74
onion,301.0,Barabanki APMC,1,68,11.77,13.52,-1.75
onion,301.0,Barabanki APMC,4,62,18.75,20.77,-2.02
onion,301.0,Barabanki APMC,13,45,26.42,26.88,-0.46
onion,301.0,Barabanki APMC,26,34,56.33,55.06,1.27
onion,302.0,Bareilly APMC,1,70,16.4,19.49,-3.1
onion,302.0,Bareilly APMC,4,64,22.21,25.29,-3.08
onion,302.0,Bareilly APMC,13,51,32.83,34.56,-1.73
onion,302.0,Bareilly APMC,26,41,63.81,60.68,3.13
onion,303.0,Dehradoon APMC,1,82,13.69,13.68,0.01
onion,303.0,Dehradoon APMC,4,79,16.89,16.82,0.07
onion,303.0,Dehradoon APMC,13,70,35.41,34.0,1.42
onion,303.0,Dehradoon APMC,26,57,64.08,60.55,3.53
onion,305.0,Farukhabad APMC,1,81,14.56,16.12,-1.56
onion,305.0,Farukhabad APMC,4,78,21.49,22.71,-1.21
onion,305.0,Farukhabad APMC,13,69,31.14,30.67,0.47
onion,305.0,Farukhabad APMC,26,56,55.3,50.79,4.51
onion,306.0,Ghaziabad APMC,1,70,13.56,15.63,-2.07
onion,306.0,Ghaziabad APMC,4,64,24.0,26.15,-2.16
onion,306.0,Ghaziabad APMC,13,49,34.82,35.91,-1.09
onion,306.0,Ghaziabad APMC,26,37,55.89,54.9,0.99
onion,307.0,Gorakhpur APMC,1,82,9.52,11.32,-1.8
onion,307.0,Gorakhpur APMC,4,79,16.18,18.14,-1.95
onion,307.0,Gorakhpur APMC,13,70,27.67,28.1,-0.43
onion,307.0,Gorakhpur APMC,26,57,58.6,56.83,1.78
onion,308.0,Hardoi APMC,1,69,9.68,11.62,-1.94
onion,308.0,Hardoi APMC,4,63,16.43,18.41,-1.98
onion,308.0,Hardoi APMC,13,47,24.7,25.76,-1.06
onion,308.0,Hardoi APMC,26,35,57.73,57.85,-0.13
onion,309.0,Etawah APMC,1,71,12.01,14.85,-2.83
onion,309.0,Etawah APMC,4,65,20.59,24.06,-3.47
onion,309.0,Etawah APMC,13,51,33.95,35.16,-1.21
onion,309.0,Etawah APMC,26,39,69.26,67.18,2.09
onion,310.0,Jaunpur APMC,1,83,13.26,14.75,-1.49
onion,310.0,Jaunpur APMC,4,80,20.25,21.56,-1.3
onion,310.0,Jaunpur APMC,13,71,28.18,28.39,-0.21
