crop,week_start,label,episode,score_fullsample,score_heldout
tomato,2019-11-18,0,,6.940396654638813e-05,
tomato,2019-11-25,0,,3.2712826426442634e-05,
tomato,2019-12-02,0,,4.2711936819731834e-05,
tomato,2019-12-09,0,,3.2712826426442634e-05,
tomato,2019-12-16,0,,2.0048553050459553e-05,
tomato,2019-12-23,0,,4.7572551574534044e-05,
tomato,2019-12-30,0,,2.0266084399159423e-05,
tomato,2020-01-06,0,,3.447703414668522e-05,
tomato,2020-01-13,0,,2.1284612980136737e-05,
tomato,2020-01-20,0,,3.326447338086464e-05,
tomato,2020-01-27,0,,3.872960653951018e-05,
tomato,2020-02-03,0,,1.945438919145907e-05,
tomato,2020-02-10,0,,2.4038046285989838e-05,
tomato,2020-02-17,0,,8.377047906873026e-06,
tomato,2020-02-24,0,,7.539864364001623e-05,
tomato,2020-03-02,0,,0.00012315015967258989,
tomato,2020-03-09,0,,0.00024137327124180587,
tomato,2020-03-16,0,,9.389507383616596e-05,
tomato,2020-03-23,0,,6.215261897344591e-05,
tomato,2020-03-30,0,,8.672894650764861e-05,
tomato,2020-04-06,0,,0.0031515967038356677,
tomato,2020-04-13,0,,0.002417215064912537,
tomato,2020-04-20,0,,0.0001894070160636554,
tomato,2020-04-27,0,,0.0011354771281145198,
tomato,2020-05-04,0,,0.0015319654334063082,
tomato,2020-05-11,0,,0.010461871133590532,
tomato,2020-05-18,0,,0.0004914153317636705,
tomato,2020-05-25,0,,0.0004610593159752434,
tomato,2020-06-01,0,,0.0007187857555286253,
tomato,2020-06-08,0,,0.12095715134790072,
tomato,2020-06-15,0,,0.04603381742684866,
tomato,2020-06-22,0,,0.08210153557230282,
tomato,2020-06-29,0,,0.1231024500561651,
tomato,2020-07-06,0,,0.17371619619577489,
tomato,2020-07-13,0,,0.14560353726343978,
tomato,2020-07-20,0,,0.006241217984268402,
tomato,2020-07-27,0,,0.039311293089003566,
tomato,2020-08-03,0,,2.258886172370473e-05,
tomato,2020-08-10,0,,0.0003774077386096114,
tomato,2020-08-17,0,,0.00019672234653397727,
tomato,2020-08-24,0,,0.0007051444937140794,
tomato,2020-08-31,0,,0.0013336391524623342,
tomato,2020-09-07,0,,0.00020904620996164958,
tomato,2020-09-14,0,,0.0006610736336442451,
tomato,2020-09-21,0,,0.0006308557512354982,
tomato,2020-09-28,0,,3.7452856764302445e-06,
tomato,2020-10-05,0,,0.00011510400190594205,
tomato,2020-10-12,0,,1.1915492488723314e-05,
tomato,2020-10-19,0,,6.893869991245314e-06,
tomato,2020-10-26,0,,2.4547023472520837e-05,
tomato,2020-11-02,0,,0.00012704044114586677,
tomato,2020-11-09,0,,0.00011638565180018666,
tomato,2020-11-16,0,,0.00011689887800315613,
tomato,2020-11-23,0,,7.579940603245626e-05,
tomato,2020-11-30,0,,4.340251166135161e-05,
tomato,2020-12-07,0,,7.93763480833226e-05,
tomato,2020-12-14,0,,6.061429994169863e-05,
tomato,2020-12-21,0,,3.428166510765267e-05,
tomato,2021-01-04,0,,1.945438919145907e-05,
tomato,2021-01-11,0,,2.3512952710822682e-05,
tomato,2021-01-18,0,,3.2712826426442634e-05,
tomato,2021-01-25,0,,4.2711936819731834e-05,
tomato,2021-02-01,0,,3.056868683222793e-05,
tomato,2021-02-08,0,,7.58118989449446e-05,
tomato,2021-02-15,0,,4.4353357611273825e-05,
tomato,2021-02-22,0,,4.706041547804066e-05,
tomato,2021-03-01,0,,0.00040186581318061513,
tomato,2021-03-08,0,,0.00039883471876024564,
tomato,2021-03-15,0,,0.00039883471876024564,
tomato,2021-03-22,0,,0.000534541980534688,
tomato,2021-03-29,0,,0.00013707471368790329,
tomato,2021-04-05,0,,0.0008062844667258266,
tomato,2021-04-12,0,,6.90307210323364e-05,
tomato,2021-04-19,0,,0.0059952461077206354,
tomato,2021-04-26,0,,0.091244215370404,
tomato,2021-05-03,0,,0.011690391395932281,
tomato,2021-05-10,0,,0.0011143169294105253,
tomato,2021-05-17,0,,0.0009134943065856446,
tomato,2021-05-24,0,,0.0009675037154981416,
tomato,2021-05-31,0,,0.009199977527894792,
tomato,2021-06-07,0,,0.004214755297550176,
tomato,2021-06-14,0,,0.006243852959995798,
tomato,2021-06-21,0,,0.008824239706931587,
tomato,2021-06-28,0,,0.05101271340035991,
tomato,2021-07-05,0,,0.007770051674746186,
tomato,2021-07-12,0,,0.006082662552381401,
tomato,2021-07-19,0,,0.0027319262515974633,
tomato,2021-07-26,0,,0.00036921282660244486,
tomato,2021-08-02,0,,0.003990637398865973,
tomato,2021-08-09,0,,0.006117145263819958,
tomato,2021-08-16,0,,0.004677276210546184,
tomato,2021-08-23,0,,0.0005516649711852137,
tomato,2021-08-30,0,,0.0005528851378670233,
tomato,2021-09-06,0,,0.0009349909912958086,
tomato,2021-09-13,0,,0.00021353536260753178,
tomato,2021-09-20,0,,0.0003084215609335856,
tomato,2021-09-27,0,,0.056477792054520165,
tomato,2021-10-04,0,,0.0031654996078876304,
tomato,2021-10-11,0,,0.030462644889994017,
tomato,2021-10-18,0,,0.06147369539588031,
tomato,2021-10-25,0,,0.029224486623733534,
tomato,2021-11-01,0,,0.007237699578345047,
tomato,2021-11-08,0,,0.025301367785987124,
tomato,2021-11-15,0,,0.0010364047361718306,
tomato,2021-11-22,0,,0.0009524831962163784,
tomato,2021-11-29,0,,0.0001703928637182907,
tomato,2021-12-06,0,,0.0002703316455438046,
tomato,2021-12-13,0,,1.4126279369982565e-05,
tomato,2021-12-20,0,,6.5326113556005884e-06,
tomato,2021-12-27,0,,1.2724205597246153e-05,
tomato,2022-01-03,0,,8.916306518706933e-06,
tomato,2022-01-10,0,,3.56426705128219e-05,
tomato,2022-01-17,0,,6.636208531568448e-05,
tomato,2022-01-24,0,,4.767688303455571e-05,
tomato,2022-01-31,0,,2.3725717334766674e-05,
tomato,2022-02-07,0,,3.771168787523544e-05,
tomato,2022-02-14,0,,6.381364171499701e-05,
tomato,2022-02-21,0,,7.209835677242226e-05,
tomato,2022-02-28,0,,2.4707734180180595e-05,
tomato,2022-03-07,0,,1.0342188074528977e-05,
tomato,2022-03-14,0,,4.6908380411384826e-06,
tomato,2022-03-21,0,,7.112317688686593e-05,
tomato,2022-03-28,0,,0.00020050495368879436,
tomato,2022-04-04,0,,6.887326404608657e-05,
tomato,2022-04-11,0,,0.0010263778317284855,
tomato,2022-04-18,0,,8.182735389008102e-05,
tomato,2022-04-25,0,,0.00012324737257412703,
tomato,2022-05-02,0,,0.0037291006775192898,
tomato,2022-05-09,0,,0.003992132882184048,
tomato,2022-05-16,0,,0.01901485385629369,
tomato,2022-05-23,0,,0.03767512209863714,
tomato,2022-05-30,0,,0.04104765277005035,
tomato,2022-06-06,0,,0.032055575232537936,
tomato,2022-06-13,0,,0.003557744603560393,
tomato,2022-06-20,0,,0.00010718787482521603,
tomato,2022-06-27,0,,7.350726708942058e-05,
tomato,2022-07-04,0,,0.00010176198538816225,
tomato,2022-07-11,0,,1.2423493746707917e-05,
tomato,2022-07-18,0,,5.515547574790166e-06,
tomato,2022-07-25,0,,2.463196897254504e-06,
tomato,2022-08-01,0,,2.8683375493906818e-05,
tomato,2022-08-08,0,,0.00015785803171813762,
tomato,2022-08-15,0,,0.0016977833145149566,
tomato,2022-08-22,0,,0.00534508600495512,
tomato,2022-08-29,0,,0.00033094367510480517,
tomato,2022-09-05,0,,0.018720735545794707,
tomato,2022-09-12,0,,0.01632210630158215,
tomato,2022-09-19,0,,0.004496402942949429,
tomato,2022-09-26,0,,0.1561557899374967,
tomato,2022-10-03,0,,0.007636095929996311,
tomato,2022-10-10,0,,0.003132715648848334,
tomato,2022-10-17,0,,0.0019384986486503796,
tomato,2022-10-24,0,,0.005065091587920024,
tomato,2022-10-31,0,,0.000526704733658964,
tomato,2022-11-07,0,,0.00019650704739879437,
tomato,2022-11-14,0,,8.928068323385324e-05,
tomato,2022-11-21,0,,0.00021629326520118124,
