model,crop,fold,horizon_weeks,trees,elapsed_s,n_train,n_test,RMSE,MAE,MAPE,R2,N
XGBoost,potato,3,13,45,2.6,26405,4308,1004.3,855.6,39.25,-1.3214,4308
XGBoost,potato,3,26,183,5.3,26286,4301,861.1,685.9,33.97,-0.5674,4301
XGBoost,potato,4,1,261,7.9,31063,4192,180.5,138.5,11.97,0.6152,4192
XGBoost,potato,4,4,161,5.7,30930,4168,241.7,188.7,17.03,0.2725,4168
XGBoost,potato,4,13,92,3.9,30669,4127,621.4,559.6,53.08,-2.8078,4127
XGBoost,potato,4,26,4,1.8,30532,4112,441.6,371.9,47.92,-0.7003,4112
CatBoost,tomato,1,1,142,11.8,112085,25660,765.8,489.2,22.33,0.6619,25660
CatBoost,tomato,1,4,109,9.5,111284,25519,1119.1,731.6,31.62,0.2812,25519
CatBoost,tomato,1,13,51,6.5,109779,25248,1267.5,817.3,37.33,0.1067,25248
CatBoost,tomato,1,26,96,9.0,108857,25101,1092.2,850.5,67.63,0.2236,25101
CatBoost,tomato,2,1,39,7.0,137254,25815,1708.0,912.9,32.43,0.4504,25815
CatBoost,tomato,2,4,39,6.5,136317,25626,2100.0,1196.9,47.28,0.1564,25626
CatBoost,tomato,2,13,33,3.3,134495,25317,2217.5,1281.6,49.31,0.0376,25317
CatBoost,tomato,2,26,52,6.8,133402,25032,2168.9,1247.1,41.22,0.0397,25032
CatBoost,tomato,3,1,129,13.1,162970,26148,776.2,546.9,21.76,0.7294,26148
CatBoost,tomato,3,4,324,24.5,161862,26055,1140.4,801.7,30.12,0.4251,26055
CatBoost,tomato,3,13,146,14.2,159804,25852,1262.6,883.6,34.81,0.3727,25852
CatBoost,tomato,3,26,22,6.0,158594,25671,1277.9,920.2,45.37,0.3258,25671
CatBoost,tomato,4,1,93,12.0,188614,25280,706.0,456.6,20.36,0.7279,25280
CatBoost,tomato,4,4,292,22.6,187361,24969,949.1,703.6,35.33,0.515,24969
CatBoost,tomato,4,13,146,13.5,185036,24201,1048.5,740.6,32.47,0.3753,24201
CatBoost,tomato,4,26,26,7.6,183619,23677,1105.5,813.1,39.46,0.3284,23677
CatBoost,onion,1,1,67,5.8,53847,12438,367.8,265.3,16.6,0.8708,12438
CatBoost,onion,1,4,155,9.2,53445,12389,524.7,403.2,26.88,0.7308,12389
CatBoost,onion,1,13,947,41.8,52686,12308,761.7,641.9,47.16,0.4037,12308
CatBoost,onion,1,26,121,7.8,52177,12306,676.5,436.6,30.6,0.5849,12306
CatBoost,onion,2,1,238,14.1,65727,12609,626.8,377.5,15.69,0.8094,12609
CatBoost,onion,2,4,778,40.9,65272,12553,861.6,566.6,23.11,0.6361,12553
CatBoost,onion,2,13,326,18.7,64408,12407,1052.8,701.2,27.2,0.427,12407
CatBoost,onion,2,26,834,42.7,63903,12212,1276.2,950.5,34.23,0.0415,12212
CatBoost,onion,3,1,92,8.4,78231,12100,597.5,449.2,15.48,0.8308,12100
CatBoost,onion,3,4,124,9.2,77742,12051,918.7,728.0,23.36,0.6052,12051
CatBoost,onion,3,13,204,4.4,76845,11917,1183.7,951.6,28.48,0.314,11917
CatBoost,onion,3,26,59,2.1,76336,11823,1531.7,1220.5,35.91,-0.019,11823
CatBoost,onion,4,1,318,9.0,90503,11965,405.9,292.6,16.3,0.8674,11965
CatBoost,onion,4,4,258,5.5,89945,11872,498.3,376.6,22.08,0.7789,11872
CatBoost,onion,4,13,108,3.1,88860,11691,824.9,681.2,47.22,0.3033,11691
CatBoost,onion,4,26,20,1.6,88125,11627,911.2,789.6,60.17,0.0947,11627
CatBoost,potato,1,1,987,11.3,18430,4212,267.7,202.6,13.08,0.7539,4212
CatBoost,potato,1,4,320,4.5,18315,4205,437.9,361.6,22.49,0.3624,4205
CatBoost,potato,1,13,268,3.9,18094,4178,572.2,496.2,37.95,0.119,4178
CatBoost,potato,1,26,234,3.4,17955,4171,569.3,470.7,36.92,0.0244,4171
CatBoost,potato,2,1,50,1.5,22590,4247,150.9,109.3,10.68,0.842,4247
CatBoost,potato,2,4,38,1.3,22463,4245,211.7,160.6,15.97,0.677,4245
CatBoost,potato,2,13,10,1.0,22219,4246,326.9,245.3,19.45,-0.0069,4246
CatBoost,potato,2,26,1000,0.8,22085,4249,611.9,452.4,27.82,-0.6573,4249
CatBoost,potato,3,1,63,1.8,26799,4324,362.0,279.4,13.49,0.6871,4324
CatBoost,potato,3,4,131,2.6,26666,4318,483.7,416.6,20.94,0.4187,4318
CatBoost,potato,3,13,143,2.8,26405,4308,740.0,638.7,30.29,-0.2601,4308
CatBoost,potato,3,26,145,2.7,26286,4301,737.9,587.4,29.16,-0.1508,4301
CatBoost,potato,4,1,447,7.2,31063,4192,170.9,129.6,11.41,0.655,4192
CatBoost,potato,4,4,225,4.1,30930,4168,233.1,180.4,16.43,0.3229,4168
CatBoost,potato,4,13,239,4.3,30669,4127,477.5,417.1,39.57,-1.2484,4127
CatBoost,potato,4,26,1000,1.0,30532,4112,371.3,294.1,37.6,-0.2018,4112
RandomForest,tomato,1,1,300,164.5,112085,25660,769.9,504.9,23.8,0.6582,25660
RandomForest,tomato,1,4,300,220.2,111284,25519,1141.8,780.0,36.05,0.2517,25519
RandomForest,tomato,1,13,300,263.3,109779,25248,1204.8,805.0,37.25,0.1928,25248
RandomForest,tomato,1,26,300,277.2,108857,25101,1171.6,828.3,49.15,0.1066,25101
RandomForest,tomato,2,1,300,365.7,137254,25815,1411.9,839.7,34.78,0.6244,25815
RandomForest,tomato,2,4,300,362.9,136317,25626,2107.9,1264.3,53.81,0.1501,25626
RandomForest,tomato,2,13,300,323.2,134495,25317,2363.8,1422.6,53.93,-0.0935,25317
RandomForest,tomato,2,26,300,338.6,133402,25032,2213.1,1300.3,43.45,0.0003,25032
RandomForest,tomato,3,1,300,482.3,162970,26148,1702.5,1205.1,46.26,-0.302,26148
RandomForest,tomato,3,4,300,408.6,161862,26055,1770.1,1239.0,58.42,-0.385,26055
RandomForest,tomato,3,13,300,314.8,159804,25852,1195.5,824.2,36.02,0.4376,25852
RandomForest,tomato,3,26,300,293.6,158594,25671,1412.7,1071.8,51.36,0.1761,25671
RandomForest,tomato,4,1,300,341.2,188614,25280,727.0,498.8,23.68,0.7115,25280
RandomForest,tomato,4,4,300,259.2,187361,24969,1082.8,803.8,41.07,0.3688,24969
RandomForest,tomato,4,13,300,302.8,185036,24201,1519.0,1013.4,49.43,-0.3109,24201
RandomForest,tomato,4,26,300,136.8,183619,23677,1654.0,1136.0,57.3,-0.5033,23677
RandomForest,onion,1,1,300,36.1,53847,12438,489.2,374.1,23.61,0.7714,12438
RandomForest,onion,1,4,300,34.0,53445,12389,644.0,481.5,32.03,0.5945,12389
RandomForest,onion,1,13,300,32.2,52686,12308,1249.8,1026.1,71.93,-0.6052,12308
RandomForest,onion,1,26,300,33.4,52177,12306,663.2,477.8,28.72,0.6011,12306
RandomForest,onion,2,1,300,54.8,65727,12609,604.7,365.2,16.26,0.8226,12609
RandomForest,onion,2,4,300,47.0,65272,12553,857.9,563.5,24.1,0.6393,12553
RandomForest,onion,2,13,300,43.3,64408,12407,996.0,705.4,29.65,0.4872,12407
RandomForest,onion,2,26,300,41.6,63903,12212,1291.7,957.9,35.05,0.0181,12212
RandomForest,onion,3,1,300,64.3,78231,12100,633.7,467.5,17.48,0.8097,12100
RandomForest,onion,3,4,300,58.6,77742,12051,842.1,674.5,23.97,0.6682,12051
RandomForest,onion,3,13,300,54.9,76845,11917,1323.4,1052.8,31.25,0.1424,11917
RandomForest,onion,3,26,300,51.3,76336,11823,1315.0,1022.5,31.6,0.2489,11823
RandomForest,onion,4,1,300,72.5,90503,11965,438.5,313.7,17.66,0.8453,11965
RandomForest,onion,4,4,300,68.3,89945,11872,587.4,422.0,23.55,0.6927,11872
RandomForest,onion,4,13,300,64.5,88860,11691,842.9,678.4,50.28,0.2727,11691
RandomForest,onion,4,26,300,66.1,88125,11627,1576.8,1333.0,91.7,-1.7111,11627
RandomForest,potato,1,1,300,12.2,18430,4212,265.2,193.9,12.85,0.7585,4212
RandomForest,potato,1,4,300,11.4,18315,4205,460.8,370.7,26.87,0.2939,4205
RandomForest,potato,1,13,300,12.0,18094,4178,1306.2,1103.6,114.89,-3.5914,4178
RandomForest,potato,1,26,300,11.1,17955,4171,478.3,397.0,34.43,0.3112,4171
RandomForest,potato,2,1,300,14.4,22590,4247,163.3,126.1,11.76,0.8151,4247
RandomForest,potato,2,4,300,13.6,22463,4245,288.0,237.3,22.48,0.4025,4245
RandomForest,potato,2,13,300,12.6,22219,4246,332.4,277.6,21.18,-0.0414,4246
RandomForest,potato,2,26,300,13.3,22085,4249,666.2,522.2,33.01,-0.9642,4249
RandomForest,potato,3,1,300,17.7,26799,4324,543.8,412.7,18.88,0.2936,4324
RandomForest,potato,3,4,300,17.0,26666,4318,393.1,296.0,15.65,0.6162,4318
RandomForest,potato,3,13,300,15.3,26405,4308,1105.9,949.3,43.77,-1.8146,4308
RandomForest,potato,3,26,300,15.7,26286,4301,862.3,678.1,33.52,-0.5716,4301
RandomForest,potato,4,1,300,22.5,31063,4192,194.6,142.5,12.13,0.5527,4192
RandomForest,potato,4,4,300,20.8,30930,4168,229.7,181.4,16.38,0.3425,4168
RandomForest,potato,4,13,300,19.1,30669,4127,705.3,648.6,62.5,-3.9049,4127
RandomForest,potato,4,26,300,18.9,30532,4112,1430.0,1332.0,142.66,-16.8302,4112
