crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,1078.0,Gudimalkapur APMC,0.3644,0.7159,16679.371712,240,M6,False
tomato,1,1079.0,Gohana APMC,-1.4303,0.1539,-54787.111034,240,M0,False
tomato,1,1081.0,Thodupuzha Market,2.1976,0.0289,180338.508498,239,M6,True
tomato,1,1108.0,Ambala Cantt. APMC,-0.4129,0.6801,-14982.264585,208,M0,False
tomato,1,1110.0,Ballabhgarh APMC,-0.3374,0.7361,-12928.38039,240,M0,False
tomato,1,1111.0,Sohna APMC,-0.8977,0.3702,-27438.921214,240,M0,False
tomato,1,1113.0,Mohindergarh APMC,-0.6531,0.5144,-22432.02329,223,M0,False
tomato,1,1124.0,Bahadajholla APMC,1.0233,0.3074,53035.150467,203,M6,False
tomato,1,1125.0,Panposh APMC,-0.6302,0.5292,-33130.771526,221,M0,False
tomato,1,1128.0,Sirhind APMC,-0.4025,0.6877,-12290.463274,240,M0,False
tomato,1,1130.0,Mansa APMC,-2.3612,0.019,-97830.360868,240,M0,True
tomato,1,1132.0,Madanganj Kishangarh APMC,0.9885,0.3241,29536.091402,200,M6,False
tomato,1,1138.0,Bijnaur APMC,-1.6993,0.0906,-47283.636,225,M0,False
tomato,1,1139.0,Kasganj APMC,-1.5613,0.1198,-44366.315949,239,M0,False
tomato,1,1140.0,Amroha APMC,-2.109,0.036,-49468.876935,228,M0,True
tomato,1,1141.0,Pukharayan APMC,-1.0134,0.3119,-25888.460036,240,M0,False
tomato,1,1142.0,Kosikalan APMC,-1.8501,0.0655,-52321.63782,240,M0,False
tomato,1,1143.0,Unnao APMC,-1.0057,0.3156,-28418.666224,239,M0,False
tomato,1,1147.0,Padra APMC,-0.6984,0.4856,-28133.204332,240,M0,False
tomato,1,1202.0,Sangareddy APMC,-0.3993,0.6902,-30038.403721,160,M0,False
tomato,1,1214.0,Tindivanam APMC,-1.0221,0.309,-86255.234902,111,M0,False
tomato,1,1273.0,Navsari APMC,-1.4181,0.1581,-73223.626352,160,M0,False
tomato,1,1275.0,Kapadvanj APMC,-0.4642,0.6429,-14598.630108,240,M0,False
tomato,1,1287.0,Shrirampur APMC,2.0379,0.0427,92082.704601,240,M6,True
tomato,1,1290.0,Bhusaval APMC,-0.0662,0.9473,-2931.828448,240,M0,False
tomato,1,1304.0,Vadgaonpeth APMC,-1.7896,0.0748,-59697.356872,240,M0,False
tomato,1,1308.0,Islampur APMC,0.3509,0.726,11864.040487,240,M6,False
tomato,1,1310.0,Karad APMC,0.4865,0.6271,22278.91755,240,M6,False
tomato,1,1312.0,Phaltan APMC,-0.0879,0.93,-2480.121677,239,M0,False
tomato,1,1313.0,Satara APMC,0.5945,0.5527,26274.016623,240,M6,False
tomato,1,1315.0,Vai APMC,-1.3735,0.1709,-51784.565289,240,M0,False
tomato,1,1318.0,Mangal Wedha APMC,-1.2794,0.202,-47403.307946,240,M0,False
tomato,1,1355.0,Kalmeshwar APMC,-0.629,0.5299,-26671.56122,240,M0,False
tomato,1,1372.0,Bijaynagar APMC,0.367,0.714,8924.372743,226,M6,False
tomato,1,1377.0,Bayana APMC,1.046,0.2969,18376.928172,188,M6,False
tomato,1,1385.0,Sujangarh APMC,-0.0042,0.9967,-107.57787,240,M0,False
tomato,1,1386.0,Bhadara APMC,-1.1374,0.2565,-49425.487643,240,M0,False
tomato,1,1387.0,Goluwala APMC,-2.4839,0.0137,-107343.459796,240,M0,True
tomato,1,1389.0,Rawatsar APMC,0.9517,0.3422,29020.205794,240,M6,False
tomato,1,1391.0,Suratgarh APMC,0.3769,0.7067,11018.623457,200,M6,False
tomato,1,1416.0,Chittorgarh APMC,-1.9443,0.0538,-108371.353235,147,M0,False
tomato,1,1418.0,Rajsamand APMC,-0.7439,0.4577,-34138.645118,240,M0,False
tomato,1,1427.0,Zira APMC,-0.7283,0.4671,-28969.413455,240,M0,False
tomato,1,1428.0,Dinanagar APMC,1.3927,0.165,51409.758992,240,M6,False
tomato,1,1432.0,Dasuya APMC,0.1159,0.9079,5920.565112,182,M6,False
tomato,1,1433.0,Garh Shankar APMC,-0.7876,0.4317,-22415.496299,240,M0,False
tomato,1,1434.0,Tanda Urmur APMC,-0.8112,0.4181,-46537.770027,224,M0,False
tomato,1,1438.0,Lohian Khas APMC,0.1271,0.899,3793.71809,213,M6,False
tomato,1,1441.0,Doraha APMC,-0.2594,0.7955,-9707.748628,240,M0,False
tomato,1,1446.0,Sahnewal APMC,0.1137,0.9096,5165.726804,240,M6,False
tomato,1,1452.0,Bariwala APMC,-0.4266,0.6701,-24985.486994,228,M0,False
tomato,1,1456.0,Rajpura APMC,-0.0499,0.9602,-1627.772906,240,M0,False
tomato,1,1457.0,Chamkaur Sahib APMC,1.1409,0.2552,57333.250238,210,M6,False
tomato,1,1458.0,Kharar APMC,-2.5037,0.013,-96941.530097,240,M0,True
tomato,1,1464.0,Bassi Pathana APMC,-1.8144,0.0709,-68498.079656,240,M0,False
tomato,1,1466.0,Khamano APMC,-0.9996,0.3185,-55079.371021,240,M0,False
tomato,1,1469.0,Vellore APMC,-0.2013,0.8408,-16227.783869,111,M0,False
tomato,1,1504.0,Nimapara APMC,-1.564,0.1287,-139422.832128,30,M0,False
tomato,1,1505.0,Parlakhemundi APMC,-0.8096,0.4191,-31137.943323,216,M0,False
tomato,1,1506.0,Bhanjanagar APMC,1.4337,0.153,61023.779988,240,M6,False
tomato,1,1507.0,Boudh APMC,-0.1972,0.8439,-17132.974477,189,M0,False
tomato,1,1510.0,Sargipali APMC,1.2161,0.2251,50534.282399,240,M6,False
tomato,1,1511.0,Udala APMC,0.6559,0.5125,37957.130367,240,M6,False
tomato,1,1512.0,Karanjia APMC,-1.5987,0.1184,-224160.146771,38,M0,False
tomato,1,1513.0,Jaleswar APMC,0.7192,0.4728,34514.047124,209,M6,False
tomato,1,1516.0,Kamakhyanagar APMC,-2.549,0.0114,-915478.390227,240,M0,True
tomato,1,1519.0,Betnoti APMC,0.7434,0.4582,36794.172649,179,M6,False
tomato,1,1520.0,Keonjhar APMC,2.7589,0.0062,119489.023883,240,M6,True
tomato,1,1523.0,Balugaon APMC,1.0183,0.3096,55162.116348,240,M6,False
tomato,1,1525.0,Birmaharajpur APMC,1.0252,0.3065,90107.690434,194,M6,False
tomato,1,1527.0,Hinjilicut APMC,1.8024,0.0729,86821.23878,216,M6,False
tomato,1,1537.0,Porbandar APMC,0.0197,0.9843,886.952427,240,M6,False
tomato,1,1569.0,Bhagta Bhai Ka APMC,2.9895,0.0031,105793.898807,240,M6,True
tomato,1,1570.0,Talwandi Sabo APMC,0.014,0.9889,626.833587,231,M6,False
tomato,1,1573.0,Mamdot APMC,-1.5958,0.1122,-84460.735646,189,M0,False
tomato,1,1579.0,Bilga APMC,-1.372,0.1715,-25004.365167,212,M0,False
tomato,1,1587.0,Dera Bassi APMC,1.9568,0.0516,57169.776025,231,M6,False
tomato,1,1593.0,Lehra Gaga APMC,-1.4444,0.1499,-74035.432879,240,M0,False
tomato,1,1595.0,Sangrur APMC,-1.6994,0.0911,-72836.50603,169,M0,False
tomato,1,1598.0,Palitana APMC,-1.1207,0.2641,-48388.595239,160,M0,False
tomato,1,1602.0,Mulbagal APMC,-0.8968,0.3707,-28504.826998,240,M0,False
tomato,1,1606.0,Rayya APMC,1.1544,0.2495,42614.018864,240,M6,False
tomato,1,1610.0,Ajmer(F&V) APMC,1.5501,0.1224,47317.401791,240,M6,False
tomato,1,1614.0,Sriganganagar (F&V) APMC,-2.272,0.0241,-108250.974235,216,M0,True
tomato,1,1626.0,Damnagar APMC,-2.7058,0.0073,-156315.816529,240,M0,True
tomato,1,1631.0,Panvel APMC,-1.2287,0.2204,-67976.673224,237,M0,False
tomato,1,1634.0,Rahuri APMC,0.9519,0.3422,35448.861651,215,M6,False
tomato,1,1637.0,Akluj APMC,-1.0864,0.2792,-76371.913185,137,M0,False
tomato,1,1651.0,Ratnagiri (Nachane) APMC,-1.8639,0.0636,-88173.599682,240,M0,False
tomato,1,1658.0,Patan APMC,-0.8626,0.3892,-27877.292971,240,M0,False
tomato,1,1663.0,Sitarganj APMC,-0.3962,0.6923,-14234.899096,240,M0,False
