crop,horizon_weeks,baseline,richer,comparison,is_headline,DM_stat,p_value,mean_d,n,better_model,significant_5pct
potato,13,M1,M2,M1 vs M2,False,-2.4389,0.0155,-210166.528841,230,baseline,True
potato,13,M2,M3,M2 vs M3,False,2.4917,0.0134,58668.43492,230,richer,True
potato,13,M3,M4,M3 vs M4,False,-0.072,0.9426,-1216.575957,230,baseline,False
potato,13,M4,M5,M4 vs M5,False,-0.4432,0.6581,-8557.093953,230,baseline,False
potato,13,M5,M6,M5 vs M6,False,-0.4066,0.6847,-11551.608018,230,baseline,False
potato,26,M0,M6,M0 vs M6,True,-1.9872,0.0482,-134055.975532,217,baseline,True
potato,26,M0,M4,M0 vs M4,False,-2.6533,0.0086,-186216.582707,217,baseline,True
potato,26,M0,M1,M0 vs M1,False,-0.6501,0.5163,-3872.406691,217,baseline,False
potato,26,M1,M2,M1 vs M2,False,-1.7028,0.09,-113513.736359,217,baseline,False
potato,26,M2,M3,M2 vs M3,False,-1.5401,0.125,-74110.866762,217,baseline,False
potato,26,M3,M4,M3 vs M4,False,0.1809,0.8566,5280.427105,217,richer,False
potato,26,M4,M5,M4 vs M5,False,1.6329,0.1039,42947.301066,217,richer,False
potato,26,M5,M6,M5 vs M6,False,0.8916,0.3736,9213.306109,217,richer,False
