crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,106,Karnataka,1,15.3,242,15.7,17.6,3105,17.5,14.8
onion,106,Karnataka,4,24.0,239,24.3,25.5,3035,25.4,21.3
onion,106,Karnataka,13,34.1,230,34.0,33.7,2842,33.5,29.8
onion,106,Karnataka,26,40.9,217,40.2,37.5,2587,37.5,35.4
onion,108,Karnataka,1,18.9,242,18.6,17.6,3105,17.5,14.8
onion,108,Karnataka,4,30.9,239,29.9,25.5,3035,25.4,21.3
onion,108,Karnataka,13,36.6,230,36.0,33.7,2842,33.5,29.8
onion,108,Karnataka,26,35.9,217,36.2,37.5,2587,37.5,35.4
onion,115,Karnataka,1,19.3,232,19.0,17.6,3105,17.5,14.8
onion,115,Karnataka,4,26.3,226,26.1,25.5,3035,25.4,21.3
onion,115,Karnataka,13,34.3,214,34.2,33.7,2842,33.5,29.8
onion,115,Karnataka,26,40.7,201,40.0,37.5,2587,37.5,35.4
onion,116,Karnataka,1,18.3,139,18.1,17.6,3105,17.5,14.8
onion,116,Karnataka,4,30.8,130,29.2,25.5,3035,25.4,21.3
onion,116,Karnataka,13,48.0,103,43.1,33.7,2842,33.5,29.8
onion,116,Karnataka,26,43.7,64,40.9,37.5,2587,37.5,35.4
onion,126,Kerala,1,12.7,242,12.8,13.3,13763,13.3,14.8
onion,126,Kerala,4,19.1,239,19.1,18.9,13568,18.9,21.3
onion,126,Kerala,13,27.3,230,27.0,25.6,12994,25.6,29.8
onion,126,Kerala,26,36.5,217,35.6,31.8,12196,31.8,35.4
onion,128,Kerala,1,11.6,111,12.1,13.3,13763,13.3,14.8
onion,128,Kerala,4,18.9,108,18.9,18.9,13568,18.9,21.3
onion,128,Kerala,13,32.3,99,30.0,25.6,12994,25.6,29.8
onion,128,Kerala,26,31.9,86,31.9,31.8,12196,31.8,35.4
onion,129,Kerala,1,13.2,242,13.2,13.3,13763,13.3,14.8
onion,129,Kerala,4,20.7,239,20.4,18.9,13568,18.9,21.3
onion,129,Kerala,13,29.1,230,28.5,25.6,12994,25.6,29.8
onion,129,Kerala,26,36.6,217,35.6,31.8,12196,31.8,35.4
onion,132,Kerala,1,12.5,242,12.7,13.3,13763,13.3,14.8
onion,132,Kerala,4,17.9,239,18.1,18.9,13568,18.9,21.3
onion,132,Kerala,13,23.0,230,23.5,25.6,12994,25.6,29.8
onion,132,Kerala,26,28.3,217,29.0,31.8,12196,31.8,35.4
onion,134,Kerala,1,12.4,242,12.6,13.3,13763,13.3,14.8
onion,134,Kerala,4,20.4,239,20.1,18.9,13568,18.9,21.3
onion,134,Kerala,13,31.8,230,30.6,25.6,12994,25.6,29.8
onion,134,Kerala,26,39.3,217,37.9,31.8,12196,31.8,35.4
onion,135,Kerala,1,13.3,242,13.3,13.3,13763,13.3,14.8
onion,135,Kerala,4,21.3,239,20.9,18.9,13568,18.9,21.3
onion,135,Kerala,13,27.0,230,26.7,25.6,12994,25.6,29.8
onion,135,Kerala,26,32.3,217,32.2,31.8,12196,31.8,35.4
onion,136,Kerala,1,14.8,242,14.5,13.3,13763,13.3,14.8
onion,136,Kerala,4,21.1,239,20.7,18.9,13568,18.9,21.3
onion,136,Kerala,13,25.7,230,25.7,25.6,12994,25.6,29.8
onion,136,Kerala,26,29.9,217,30.3,31.8,12196,31.8,35.4
onion,139,Kerala,1,16.1,242,15.6,13.3,13763,13.3,14.8
onion,139,Kerala,4,24.9,239,23.9,18.9,13568,18.9,21.3
onion,139,Kerala,13,36.7,230,34.6,25.6,12994,25.6,29.8
onion,139,Kerala,26,44.4,217,42.0,31.8,12196,31.8,35.4
onion,140,Kerala,1,15.5,230,15.1,13.3,13763,13.3,14.8
onion,140,Kerala,4,21.0,224,20.6,18.9,13568,18.9,21.3
