crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,1735.0,Bishalpur APMC,-0.4846,0.6284,-20913.609914,230,M6,False
tomato,13,1736.0,Tilhar APMC,-0.5865,0.5582,-39569.43567,204,M6,False
tomato,13,1737.0,Kayamganj APMC,-0.6224,0.5343,-15300.164417,220,M6,False
tomato,13,1738.0,Konch APMC,-0.8863,0.3764,-42616.335005,230,M6,False
tomato,13,1739.0,Mauranipur APMC,-1.8118,0.0715,-56477.611691,199,M6,False
tomato,13,1740.0,Sahiyapur APMC,1.3223,0.1876,46692.541144,194,M8,False
tomato,13,1741.0,Bharthna APMC,1.0485,0.2955,21338.13217,230,M8,False
tomato,13,1742.0,Chaandpur APMC,0.871,0.3848,45504.096565,202,M8,False
tomato,13,1743.0,Jayas APMC,-0.7974,0.4261,-25957.570121,210,M6,False
tomato,13,1744.0,Ujhani APMC,0.1492,0.8817,5629.104684,119,M8,False
tomato,13,1746.0,Paliakala APMC,-0.2262,0.8214,-13948.305963,132,M6,False
tomato,13,1747.0,Atarra APMC,0.5441,0.587,26530.180226,198,M8,False
tomato,13,1748.0,Bindki APMC,0.0563,0.9551,2441.93389,206,M8,False
tomato,13,1750.0,Gurusarai APMC,-1.2845,0.2013,-108074.799231,131,M6,False
tomato,13,1751.0,Sehjanwa APMC,1.5454,0.1239,63597.846246,188,M8,False
tomato,13,1752.0,Jhijhank APMC,0.7868,0.4329,36449.792287,129,M8,False
tomato,13,1753.0,Khurja APMC,-0.8133,0.4169,-25826.070712,230,M6,False
tomato,13,1754.0,Gangoh APMC,0.3592,0.7198,20864.569863,206,M8,False
tomato,13,1755.0,Charra APMC,-0.8088,0.4195,-29192.71988,212,M6,False
tomato,13,1757.0,Ghiraur APMC,-0.7695,0.4425,-23844.905424,197,M6,False
tomato,13,1758.0,Shikohabad APMC,1.3448,0.1809,23179.208273,136,M8,False
tomato,13,1759.0,Khair APMC,-2.5454,0.0116,-97815.579402,230,M6,True
tomato,13,1760.0,Safdarganj APMC,-0.6464,0.5187,-48848.063454,230,M6,False
tomato,13,1761.0,Jafarganj APMC,0.3974,0.6915,13231.656415,204,M8,False
tomato,13,1763.0,Naanpara APMC,0.7347,0.4633,32161.495909,211,M8,False
tomato,13,1764.0,Jasra APMC,-1.1765,0.2406,-43883.357251,230,M6,False
tomato,13,1765.0,Dibiapur APMC,1.3152,0.1901,33405.856642,182,M8,False
