variant,crop,fold,horizon_weeks,test_year,n_features,n_trees,RMSE,MAE,MAPE,R2,N,fit_sec
M5,onion,3,26,2024,80,20,1513.9,1160.4,34.68,0.0059,14182,1.2
M5,onion,4,1,2025,80,62,425.4,296.4,14.54,0.839,37303,9.2
M5,onion,4,4,2025,80,149,512.8,380.0,20.41,0.7441,34952,13.3
M5,onion,4,13,2025,80,49,748.1,596.0,39.37,0.359,28138,8.5
M5,onion,4,26,2025,80,25,978.8,827.0,60.64,-0.1235,18519,5.7
M5,potato,1,1,2022,80,218,301.7,222.6,14.12,0.6874,4212,12.6
M5,potato,1,4,2022,80,29,516.7,433.7,26.84,0.1122,4205,4.0
M5,potato,1,13,2022,80,4,694.6,584.8,40.89,-0.2984,4178,2.6
M5,potato,1,26,2022,80,186,688.9,618.2,58.69,-0.4285,4171,11.6
M5,potato,2,1,2023,80,50,146.7,105.8,9.95,0.8506,4247,5.8
M5,potato,2,4,2023,80,25,221.3,165.2,16.13,0.6471,4245,3.6
M5,potato,2,13,2023,80,4,426.5,349.8,26.2,-0.7138,4246,2.6
M5,potato,2,26,2023,80,28,576.2,434.8,26.68,-0.4694,4249,4.3
M5,potato,3,1,2024,80,62,286.1,208.1,10.62,0.8044,4324,5.7
M5,potato,3,4,2024,80,61,374.3,293.4,15.46,0.652,4318,6.5
M5,potato,3,13,2024,80,110,865.3,739.1,34.41,-0.7232,4308,9.5
M5,potato,3,26,2024,80,105,803.6,634.2,31.33,-0.365,4301,9.3
M5,potato,4,1,2025,80,174,181.5,139.9,12.18,0.6052,4114,12.9
M5,potato,4,4,2025,80,60,238.6,184.5,16.85,0.2551,3856,7.1
M5,potato,4,13,2025,80,104,703.2,654.0,55.78,-5.8681,3128,9.8
M5,potato,4,26,2025,80,4,271.4,207.6,18.48,-0.0317,2072,4.0
M6,tomato,1,1,2022,85,151,745.2,487.3,23.34,0.6708,28815,13.9
M6,tomato,1,4,2022,85,125,1112.8,755.5,33.96,0.27,28671,11.6
M6,tomato,1,13,2022,85,44,1224.6,792.2,35.82,0.1438,28397,6.2
M6,tomato,1,26,2022,85,14,1060.4,730.5,46.87,0.2513,28250,4.6
M6,tomato,2,1,2023,85,40,1606.7,882.1,31.94,0.5089,29252,6.7
M6,tomato,2,4,2023,85,38,2074.9,1212.3,48.72,0.1672,29046,6.2
M6,tomato,2,13,2023,85,24,2231.6,1290.0,50.66,0.0137,28683,1.8
M6,tomato,2,26,2023,85,790,2195.1,1243.7,38.65,0.0022,28375,49.2
M6,tomato,3,1,2024,85,44,979.5,737.3,30.07,0.5662,34408,12.1
M6,tomato,3,4,2024,85,12,1428.8,1041.7,39.78,0.0903,34270,8.4
M6,tomato,3,13,2024,85,27,1435.9,999.2,38.61,0.1424,34012,9.8
M6,tomato,3,26,2024,85,32,1329.9,992.5,52.56,0.1951,33684,9.8
M6,tomato,4,1,2025,85,64,694.6,461.5,20.78,0.7281,37281,14.5
M6,tomato,4,4,2025,85,59,977.1,701.9,32.88,0.4722,34764,14.1
M6,tomato,4,13,2025,85,245,1029.5,780.7,35.66,0.4005,27729,30.4
M6,tomato,4,26,2025,85,22,1348.2,984.4,30.56,-0.1367,18121,9.8
M6,onion,1,1,2022,85,39,463.3,348.1,21.93,0.7889,13749,7.4
M6,onion,1,4,2022,85,46,536.7,414.3,28.38,0.7099,13697,7.9
M6,onion,1,13,2022,85,175,732.4,618.5,45.21,0.4304,13605,16.7
M6,onion,1,26,2022,85,50,601.9,429.8,29.3,0.6568,13575,8.4
M6,onion,2,1,2023,85,105,595.2,365.1,15.95,0.8205,14061,13.0
M6,onion,2,4,2023,85,305,853.9,564.6,23.51,0.6271,13985,27.1
M6,onion,2,13,2023,85,140,1030.5,702.5,28.5,0.4277,13813,15.0
M6,onion,2,26,2023,85,297,1232.8,909.3,33.3,0.0683,13619,25.3
M6,onion,3,1,2024,85,80,586.4,442.2,16.72,0.8383,14521,11.6
M6,onion,3,4,2024,85,97,820.0,656.6,23.4,0.6871,14464,12.9
M6,onion,3,13,2024,85,106,1255.8,990.9,29.44,0.2313,14295,13.9
M6,onion,3,26,2024,85,19,1536.7,1175.6,35.4,-0.0242,14182,6.8
M6,onion,4,1,2025,85,63,431.7,298.1,14.34,0.8341,37303,11.0
M6,onion,4,4,2025,85,71,533.5,392.3,20.75,0.723,34952,11.6
M6,onion,4,13,2025,85,47,750.8,604.8,40.19,0.3543,28138,9.6
M6,onion,4,26,2025,85,25,955.7,792.9,56.72,-0.0711,18519,7.7
M6,potato,1,1,2022,85,164,273.5,208.1,13.47,0.7432,4212,13.6
M6,potato,1,4,2022,85,46,452.4,379.9,24.4,0.3193,4205,6.2
M6,potato,1,13,2022,85,2,740.7,606.4,39.61,-0.4764,4178,3.5
M6,potato,1,26,2022,85,239,658.2,579.9,52.78,-0.3042,4171,18.5
M6,potato,2,1,2023,85,57,147.9,109.5,10.29,0.8483,4247,7.2
M6,potato,2,4,2023,85,27,220.8,165.8,16.16,0.6488,4245,4.7
M6,potato,2,13,2023,85,4,404.4,326.3,24.57,-0.5409,4246,1.9
M6,potato,2,26,2023,85,25,547.6,402.6,24.69,-0.3269,4249,4.3
M6,potato,3,1,2024,85,62,277.9,207.5,10.66,0.8156,4324,7.6
