crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-07-01,2019,27,3748.484848484849,0.3299999999999999,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-07-08,2019,28,4116.279069767442,0.43,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-07-15,2019,29,3753.731343283583,0.6699999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-07-22,2019,30,3031.666666666667,0.6,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-07-29,2019,31,2573.584905660377,0.53,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-08-05,2019,32,2354.285714285714,0.7,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-08-12,2019,33,1363.3333333333333,0.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-08-19,2019,34,485.1851851851852,0.81,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-08-26,2019,35,400.0,0.55,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-09-02,2019,36,400.0,0.65,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-09-09,2019,37,400.0,0.67,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-09-16,2019,38,497.8260869565217,0.92,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-09-23,2019,39,1012.1212121212122,0.6599999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-09-30,2019,40,900.0,0.2,2.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-10-07,2019,41,746.551724137931,0.58,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-10-14,2019,42,1164.705882352941,1.3600000000000003,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-10-21,2019,43,1306.818181818182,0.4399999999999999,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-10-28,2019,44,1880.0,0.25,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-11-04,2019,45,1036.3636363636365,0.3299999999999999,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-11-11,2019,46,981.818181818182,0.5499999999999999,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-11-18,2019,47,910.0,0.5,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-11-25,2019,48,1222.2222222222224,0.4499999999999999,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-12-02,2019,49,659.9999999999999,0.7500000000000001,6.0
